wojewodztwo;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Ca³y kraj;3896;1.02;349;82;267;15390;4315;139274;56250;4556;51144;550;t00;2021-05-04
dolnoœl¹skie;402;1.39;13;10;3;1274;375;12922;4796;464;4301;31;t02;2021-05-04
kujawsko-pomorskie;216;1.04;52;2;50;913;240;6365;3312;244;3045;23;t04;2021-05-04
lubelskie;298;1.42;18;1;17;964;144;6938;2802;333;2429;40;t06;2021-05-04
lubuskie;71;0.70;8;4;4;425;122;3452;1717;83;1621;13;t08;2021-05-04
³ódzkie;371;1.52;17;0;17;1170;339;9527;4329;425;3877;27;t10;2021-05-04
ma³opolskie;285;0.83;65;40;25;1127;397;11607;4294;314;3936;44;t12;2021-05-04
mazowieckie;462;0.85;34;5;29;1659;658;21798;7885;603;7167;115;t14;2021-05-04
opolskie;104;1.06;8;0;8;399;132;3719;1678;123;1544;11;t16;2021-05-04
podkarpackie;111;0.52;19;3;16;500;139;4215;2758;141;2604;13;t18;2021-05-04
podlaskie;64;0.54;6;0;6;319;71;2520;1175;81;1088;6;t20;2021-05-04
pomorskie;150;0.64;18;1;17;832;221;7394;2989;180;2780;29;t22;2021-05-04
œl¹skie;501;1.11;44;11;33;2049;709;17686;6096;602;5420;74;t24;2021-05-04
œwiêtokrzyskie;104;0.85;11;1;10;412;121;3487;1438;120;1294;24;t26;2021-05-04
warmiñsko-mazurskie;104;0.73;16;2;14;569;93;3392;1823;111;1693;19;t28;2021-05-04
wielkopolskie;367;1.05;15;2;13;1833;319;14738;4037;411;3589;37;t30;2021-05-04
zachodniopomorskie;248;1.46;5;0;5;923;205;6499;2755;276;2445;34;t32;2021-05-04
