wojewodztwo;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Ca³y kraj;133;0.03;36;6;30;2058;247;57708;42518;193;42234;91;t00;2021-06-24
dolnoœl¹skie;7;0.02;1;1;0;156;21;3788;2914;10;2898;6;t02;2021-06-24
kujawsko-pomorskie;0;0;2;0;2;105;21;1340;1777;1;1767;9;t04;2021-06-24
lubelskie;13;0.06;3;0;3;97;13;4889;2005;15;1984;6;t06;2021-06-24
lubuskie;1;0.01;1;1;0;52;0;1080;1064;2;1060;2;t08;2021-06-24
³ódzkie;10;0.04;3;0;3;302;27;4835;2886;18;2864;4;t10;2021-06-24
ma³opolskie;9;0.03;2;0;2;127;22;2992;3140;11;3126;3;t12;2021-06-24
mazowieckie;8;0.01;12;2;10;313;31;20236;6098;20;6064;14;t14;2021-06-24
opolskie;5;0.05;1;0;1;36;11;1084;838;7;829;2;t16;2021-06-24
podkarpackie;5;0.02;2;0;2;76;7;1406;1968;15;1953;0;t18;2021-06-24
podlaskie;3;0.03;0;0;0;32;5;782;938;3;935;0;t20;2021-06-24
pomorskie;7;0.03;1;0;1;128;11;2745;2509;10;2494;5;t22;2021-06-24
œl¹skie;11;0.02;5;2;3;236;26;3438;5073;15;5039;19;t24;2021-06-24
œwiêtokrzyskie;8;0.07;2;0;2;32;5;2675;1269;9;1259;1;t26;2021-06-24
warmiñsko-mazurskie;6;0.04;0;0;0;47;4;833;1076;9;1064;3;t28;2021-06-24
wielkopolskie;29;0.08;1;0;1;178;23;3899;3538;36;3491;11;t30;2021-06-24
zachodniopomorskie;7;0.04;0;0;0;140;18;1671;1653;8;1643;2;t32;2021-06-24
