wojewodztwo;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt;dawka_1_ogolem;dawka_1_dziennie;dawka_3_ogolem;dawka_3_dziennie;dawka_przypominajaca_ogolem;dawka_przypominajaca_dziennie
inne_puste_woj;9;0;1;0;t0;1;0;0;0;7;0
dolnoœl¹skie;4655989;186;1564917;22;t02;1807011;8;13222;0;1270839;156
kujawsko-pomorskie;3135284;85;1056279;1;t04;1223423;11;10392;0;845190;73
lubelskie;2616837;58;918636;1;t06;1057762;2;11721;0;628718;55
lubuskie;1608480;29;541403;0;t08;647462;0;5018;0;414597;29
³ódzkie;3761097;130;1295943;3;t10;1471046;2;15339;0;978769;125
ma³opolskie;4806057;159;1669641;4;t12;1908665;6;12478;0;1215273;149
mazowieckie;9260482;525;3126652;48;t14;3585235;35;33472;2;2515123;440
opolskie;1337645;12;466353;0;t16;532067;0;4503;0;334722;12
podkarpackie;2303927;17;837228;1;t18;973247;2;7094;0;486358;14
podlaskie;1587237;27;566695;0;t20;653987;2;5628;0;360927;25
pomorskie;3857288;183;1305070;8;t22;1498263;7;12976;0;1040979;168
œl¹skie;6831362;210;2318870;3;t24;2666544;11;17749;0;1828199;196
œwiêtokrzyskie;1612598;55;562901;4;t26;652304;4;5150;0;392243;47
warmiñsko-mazurskie;2005292;72;685953;1;t28;788127;2;8926;0;522286;69
wielkopolskie;5794628;183;1934982;4;t30;2338075;4;18681;0;1502890;175
zachodniopomorskie;2698061;125;901978;0;t32;1063530;5;9595;0;722958;120
ca³y kraj;57872273;2056;19753502;100;t00;22866749;101;191944;2;15060078;1853
