wojewodztwo;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Ca³y kraj;537;0.14;8;1;7;7932;350;77317;45514;625;44792;97;t00;2021-09-13
dolnoœl¹skie;38;0.13;0;0;0;559;29;5933;3031;52;2976;3;t02;2021-09-13
kujawsko-pomorskie;14;0.07;0;0;0;415;16;2490;2104;17;2085;2;t04;2021-09-13
lubelskie;75;0.36;0;0;0;776;21;5187;2557;85;2464;8;t06;2021-09-13
lubuskie;6;0.06;1;1;0;156;11;1744;1087;7;1076;4;t08;2021-09-13
³ódzkie;43;0.18;2;0;2;528;22;6113;3471;53;3412;6;t10;2021-09-13
ma³opolskie;52;0.15;0;0;0;595;42;4594;3424;60;3354;10;t12;2021-09-13
mazowieckie;87;0.16;0;0;0;1280;50;23548;5975;93;5857;25;t14;2021-09-13
opolskie;4;0.04;0;0;0;159;10;1710;996;7;988;1;t16;2021-09-13
podkarpackie;32;0.15;0;0;0;310;23;2085;2608;37;2570;1;t18;2021-09-13
podlaskie;30;0.25;0;0;0;276;17;2103;1257;36;1217;4;t20;2021-09-13
pomorskie;33;0.14;0;0;0;442;10;4041;2747;36;2704;7;t22;2021-09-13
œl¹skie;23;0.05;2;0;2;878;33;5435;5069;26;5033;10;t24;2021-09-13
œwiêtokrzyskie;8;0.07;2;0;2;146;17;1329;1289;10;1277;2;t26;2021-09-13
warmiñsko-mazurskie;22;0.15;1;0;1;307;2;1512;1699;22;1677;0;t28;2021-09-13
wielkopolskie;26;0.07;0;0;0;662;19;6304;2711;33;2672;6;t30;2021-09-13
zachodniopomorskie;31;0.18;0;0;0;428;26;3159;2174;38;2132;4;t32;2021-09-13
