wojewodztwo;liczba_nowych_zakazen;liczba_ponownych_zakazen;liczba_wszystkich_zakazen;liczba_nowych_zakazen_na_10_tys_mieszkancow;liczba_ponownych_zakazen_na_10_tys_mieszkancow;liczba_wszystkich_zakazen_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Ca³y kraj;16;2;18;0.00;0.00;0.00;0;0;0;28;0;0;535;19;516;0;t00;2023-08-04
dolnoœl¹skie;1;1;2;0.00;0.00;0.01;0;0;0;4;0;0;9;2;7;0;t02;2023-08-04
kujawsko-pomorskie;0;0;0;0;0;0;0;0;0;5;0;0;7;0;7;0;t04;2023-08-04
lubelskie;1;0;1;0.00;0;0.00;0;0;0;3;0;0;7;1;6;0;t06;2023-08-04
lubuskie;1;0;1;0.01;0;0.01;0;0;0;0;0;0;2;1;1;0;t08;2023-08-04
³ódzkie;0;0;0;0;0;0;0;0;0;2;0;0;8;0;8;0;t10;2023-08-04
ma³opolskie;1;0;1;0.00;0;0.00;0;0;0;3;0;0;16;1;15;0;t12;2023-08-04
mazowieckie;6;0;6;0.01;0;0.01;0;0;0;2;0;0;305;6;299;0;t14;2023-08-04
opolskie;0;0;0;0;0;0;0;0;0;0;0;0;20;0;20;0;t16;2023-08-04
podkarpackie;0;0;0;0;0;0;0;0;0;1;0;0;2;0;2;0;t18;2023-08-04
podlaskie;2;0;2;0.02;0;0.02;0;0;0;0;0;0;10;2;8;0;t20;2023-08-04
pomorskie;0;0;0;0;0;0;0;0;0;0;0;0;13;0;13;0;t22;2023-08-04
œl¹skie;2;1;3;0.00;0.00;0.01;0;0;0;6;0;0;20;3;17;0;t24;2023-08-04
œwiêtokrzyskie;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;t26;2023-08-04
warmiñsko-mazurskie;0;0;0;0;0;0;0;0;0;0;0;0;4;0;4;0;t28;2023-08-04
wielkopolskie;1;0;1;0.00;0;0.00;0;0;0;0;0;0;13;2;11;0;t30;2023-08-04
zachodniopomorskie;0;0;0;0;0;0;0;0;0;2;0;0;5;0;5;0;t32;2023-08-04
