wojewodztwo;liczba_nowych_zakazen;liczba_ponownych_zakazen;liczba_wszystkich_zakazen;liczba_nowych_zakazen_na_10_tys_mieszkancow;liczba_ponownych_zakazen_na_10_tys_mieszkancow;liczba_wszystkich_zakazen_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Ca³y kraj;8;4;12;0.00;0.00;0.00;0;0;0;129;0;0;762;13;747;2;t00;2024-04-19
dolnoœl¹skie;0;0;0;0;0;0;0;0;0;4;0;0;24;0;24;0;t02;2024-04-19
kujawsko-pomorskie;1;0;1;0.00;0;0.00;0;0;0;6;0;0;31;1;30;0;t04;2024-04-19
lubelskie;0;1;1;0;0.00;0.00;0;0;0;14;0;0;46;1;45;0;t06;2024-04-19
lubuskie;0;0;0;0;0;0;0;0;0;3;0;0;4;0;3;1;t08;2024-04-19
³ódzkie;0;1;1;0;0.00;0.00;0;0;0;5;0;0;17;1;16;0;t10;2024-04-19
ma³opolskie;3;0;3;0.01;0;0.01;0;0;0;7;0;0;26;3;23;0;t12;2024-04-19
mazowieckie;2;1;3;0.00;0.00;0.01;0;0;0;14;0;0;331;3;328;0;t14;2024-04-19
opolskie;1;0;1;0.01;0;0.01;0;0;0;1;0;0;24;1;23;0;t16;2024-04-19
podkarpackie;0;0;0;0;0;0;0;0;0;10;0;0;19;0;19;0;t18;2024-04-19
podlaskie;0;0;0;0;0;0;0;0;0;8;0;0;30;0;30;0;t20;2024-04-19
pomorskie;0;0;0;0;0;0;0;0;0;13;0;0;31;0;30;1;t22;2024-04-19
œl¹skie;1;0;1;0.00;0;0.00;0;0;0;18;0;0;50;1;49;0;t24;2024-04-19
œwiêtokrzyskie;0;0;0;0;0;0;0;0;0;4;0;0;6;0;6;0;t26;2024-04-19
warmiñsko-mazurskie;0;0;0;0;0;0;0;0;0;10;0;0;22;0;22;0;t28;2024-04-19
wielkopolskie;0;0;0;0;0;0;0;0;0;3;0;0;28;0;28;0;t30;2024-04-19
zachodniopomorskie;0;1;1;0;0.01;0.01;0;0;0;9;0;0;27;1;26;0;t32;2024-04-19
