wojewodztwo;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Ca³y kraj;27278;7.11;356;78;278;39272;11222;356227;86240;30092;54393;1755;t00;2021-03-17
dolnoœl¹skie;2371;8.18;10;5;5;2961;720;25827;6536;2614;3838;84;t02;2021-03-17
kujawsko-pomorskie;1734;8.38;21;0;21;2396;735;18726;4729;1855;2768;106;t04;2021-03-17
lubelskie;874;4.16;14;1;13;1539;520;12977;3814;936;2816;62;t06;2021-03-17
lubuskie;672;6.65;7;5;2;1050;355;10170;2065;710;1333;22;t08;2021-03-17
³ódzkie;1349;5.51;25;8;17;2339;735;19489;4793;1419;3328;46;t10;2021-03-17
ma³opolskie;2192;6.42;21;11;10;2886;752;27274;6072;2327;3618;127;t12;2021-03-17
mazowieckie;4408;8.12;44;10;34;6602;1938;66828;14702;5112;9051;539;t14;2021-03-17
opolskie;637;6.49;7;0;7;696;120;6147;1826;662;1149;15;t16;2021-03-17
podkarpackie;1449;6.82;39;4;35;1847;542;21026;4963;2051;2863;49;t18;2021-03-17
podlaskie;486;4.13;11;0;11;880;298;8270;1732;526;1179;27;t20;2021-03-17
pomorskie;1758;7.49;29;2;27;2559;796;29364;4993;1840;3049;104;t22;2021-03-17
œl¹skie;3788;8.40;47;16;31;5674;1152;42582;9755;3959;5591;205;t24;2021-03-17
œwiêtokrzyskie;707;5.75;13;2;11;977;288;7824;2819;836;1832;151;t26;2021-03-17
warmiñsko-mazurskie;1109;7.81;21;4;17;1629;1002;16319;2954;1131;1782;41;t28;2021-03-17
wielkopolskie;2493;7.12;28;10;18;3745;771;31388;7847;2785;5006;56;t30;2021-03-17
zachodniopomorskie;820;4.84;19;0;19;1472;402;11859;2917;859;1975;83;t32;2021-03-17
