wojewodztwo;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Ca³y kraj;2950;0.77;0;0;0;335;3039;165527;25515;3236;22114;165;t00;2021-10-24
dolnoœl¹skie;122;0.42;0;0;0;7;127;8296;1286;133;1151;2;t02;2021-10-24
kujawsko-pomorskie;100;0.48;0;0;0;14;106;5568;1036;105;923;8;t04;2021-10-24
lubelskie;511;2.43;0;0;0;57;732;24103;1903;538;1351;14;t06;2021-10-24
lubuskie;20;0.20;0;0;0;7;37;3792;512;22;485;5;t08;2021-10-24
³ódzkie;103;0.42;0;0;0;13;154;8698;1388;112;1273;3;t10;2021-10-24
ma³opolskie;140;0.41;0;0;0;7;178;7724;1878;151;1713;14;t12;2021-10-24
mazowieckie;736;1.36;0;0;0;100;538;39271;4537;812;3682;43;t14;2021-10-24
opolskie;39;0.40;0;0;0;2;40;2888;433;42;391;0;t16;2021-10-24
podkarpackie;176;0.83;0;0;0;16;109;6786;1742;195;1523;24;t18;2021-10-24
podlaskie;253;2.15;0;0;0;9;308;12994;1067;272;786;9;t20;2021-10-24
pomorskie;160;0.68;0;0;0;8;139;9596;1652;173;1474;5;t22;2021-10-24
œl¹skie;169;0.37;0;0;0;12;143;7784;2681;188;2479;14;t24;2021-10-24
œwiêtokrzyskie;41;0.33;0;0;0;2;47;2238;696;49;643;4;t26;2021-10-24
warmiñsko-mazurskie;65;0.46;0;0;0;4;81;6663;632;81;546;5;t28;2021-10-24
wielkopolskie;101;0.29;0;0;0;17;139;10136;1489;111;1373;5;t30;2021-10-24
zachodniopomorskie;177;1.05;0;0;0;60;145;8964;1346;210;1128;8;t32;2021-10-24
