wojewodztwo;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Cały kraj;12363;3.22;472;104;368;18698;174083;52412;13516;37728;1168;t00;2020-12-22
dolnośląskie;601;2.07;36;3;33;1109;11631;3612;673;2868;71;t02;2020-12-22
kujawsko-pomorskie;1211;5.85;57;3;54;1772;14995;3964;1274;2586;104;t04;2020-12-22
lubelskie;573;2.72;25;6;19;939;8599;2447;645;1771;31;t06;2020-12-22
lubuskie;367;3.63;3;3;0;476;5421;1397;430;932;35;t08;2020-12-22
łódzkie;864;3.53;25;7;18;1290;11116;3519;929;2476;114;t10;2020-12-22
małopolskie;528;1.55;18;11;7;723;6544;3346;570;2699;77;t12;2020-12-22
mazowieckie;1524;2.81;48;9;39;2884;26811;7737;1682;5876;179;t14;2020-12-22
opolskie;247;2.52;15;2;13;301;3721;1003;269;714;20;t16;2020-12-22
podkarpackie;224;1.05;21;7;14;402;4568;1597;253;1332;12;t18;2020-12-22
podlaskie;330;2.8;7;3;4;506;4783;1277;369;880;28;t20;2020-12-22
pomorskie;974;4.15;30;4;26;1597;15407;4151;1050;2981;120;t22;2020-12-22
śląskie;1274;2.83;44;10;34;1711;14235;5387;1384;3879;124;t24;2020-12-22
świętokrzyskie;165;1.34;25;5;20;233;2554;1065;225;803;37;t26;2020-12-22
warmińsko-mazurskie;986;6.94;32;1;31;1228;11280;2420;1016;1364;40;t28;2020-12-22
wielkopolskie;1400;4.0;67;30;37;2047;18969;4680;1489;3089;102;t30;2020-12-22
zachodniopomorskie;993;5.86;19;0;19;1475;13441;3159;1119;1985;55;t32;2020-12-22
