wojewodztwo;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt
Ca³y kraj;14151;3.69;553;144;409;19348;4044;165668;61758;15217;45266;1275;t00
dolnoœl¹skie;599;2.07;44;16;28;1080;185;10478;3751;655;3019;77;t02
kujawsko-pomorskie;1300;6.28;42;5;37;1874;414;14477;4745;1386;3279;80;t04
lubelskie;658;3.13;28;12;16;896;190;7132;2723;722;1965;36;t06
lubuskie;368;3.64;11;6;5;523;119;4773;1691;426;1221;44;t08
³ódzkie;1058;4.32;125;50;75;1335;287;10697;4661;1136;3433;92;t10
ma³opolskie;625;1.83;23;15;8;776;133;7763;3608;671;2880;57;t12
mazowieckie;1686;3.11;39;7;32;3021;513;27378;7619;1829;5574;216;t14
opolskie;222;2.26;15;1;14;340;85;3340;1167;241;910;16;t16
podkarpackie;654;3.08;24;0;24;452;83;4231;2910;729;2160;21;t18
podlaskie;477;4.05;15;2;13;563;125;4333;1562;498;1033;31;t20
pomorskie;1148;4.89;31;6;25;1735;403;14780;4040;1203;2674;163;t22
œl¹skie;1391;3.09;54;5;49;1716;356;13385;6374;1498;4769;107;t24
œwiêtokrzyskie;218;1.77;12;0;12;267;65;2525;1554;255;1236;63;t26
warmiñsko-mazurskie;1082;7.62;15;2;13;1213;220;10083;2730;1110;1561;59;t28
wielkopolskie;1488;4.25;45;16;29;2125;411;17568;5366;1578;3680;108;t30
zachodniopomorskie;921;5.44;30;1;29;1418;321;12698;3126;986;2081;59;t32
