wojewodztwo;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt
Ca³y kraj;9410;2.45;177;41;136;415;9657;156834;43731;10059;32741;931;t00
dolnoœl¹skie;459;1.58;4;1;3;24;494;9806;2162;490;1648;24;t02
kujawsko-pomorskie;923;4.46;17;5;12;90;948;12926;3001;992;1917;92;t04
lubelskie;381;1.81;16;7;9;29;316;6551;1828;438;1372;18;t06
lubuskie;261;2.58;6;3;3;8;328;4682;1265;279;978;8;t08
³ódzkie;573;2.34;7;4;3;15;599;9702;2736;607;2054;75;t10
ma³opolskie;260;0.76;2;1;1;19;361;7474;2307;269;1990;48;t12
mazowieckie;1305;2.40;40;7;33;44;1312;27284;6267;1394;4710;163;t14
opolskie;181;1.85;0;0;0;4;161;3149;947;189;746;12;t16
podkarpackie;214;1.01;7;0;7;10;221;4157;1593;235;1338;20;t18
podlaskie;239;2.03;8;0;8;11;290;4318;866;256;607;3;t20
pomorskie;1010;4.30;24;3;21;13;894;14267;4140;1067;2947;126;t22
œl¹skie;676;1.50;9;1;8;40;744;12306;3246;712;2479;55;t24
œwiêtokrzyskie;151;1.23;1;0;1;4;176;2328;1072;169;865;38;t26
warmiñsko-mazurskie;515;3.63;0;0;0;14;774;9568;1384;541;816;27;t28
wielkopolskie;1106;3.16;23;8;15;57;1120;16444;4009;1184;2739;86;t30
zachodniopomorskie;936;5.53;13;1;12;33;819;11850;2649;989;1581;79;t32
