wojewodztwo;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Ca³y kraj;2344;0.61;329;74;255;7249;2149;98191;58528;2639;55467;422;t00;2021-05-18
dolnoœl¹skie;224;0.77;28;14;14;589;208;8221;4362;255;4060;47;t02;2021-05-18
kujawsko-pomorskie;104;0.50;13;2;11;402;117;3900;2733;112;2594;27;t04;2021-05-18
lubelskie;136;0.65;13;2;11;346;79;5189;2823;157;2651;15;t06;2021-05-18
lubuskie;38;0.38;15;11;4;156;56;2270;1458;40;1409;9;t08;2021-05-18
³ódzkie;196;0.80;14;0;14;666;168;8072;4488;234;4200;54;t10;2021-05-18
ma³opolskie;182;0.53;19;10;9;561;139;6933;4067;190;3848;29;t12;2021-05-18
mazowieckie;274;0.50;22;4;18;998;292;20615;8932;319;8539;74;t14;2021-05-18
opolskie;77;0.79;6;0;6;183;77;2996;1272;84;1184;4;t16;2021-05-18
podkarpackie;41;0.19;13;0;13;248;50;2593;2918;63;2848;7;t18;2021-05-18
podlaskie;86;0.73;2;0;2;162;50;2038;1483;90;1391;2;t20;2021-05-18
pomorskie;113;0.48;16;0;16;452;132;5627;3506;130;3350;26;t22;2021-05-18
œl¹skie;317;0.70;94;17;77;885;297;10191;6085;357;5684;44;t24;2021-05-18
œwiêtokrzyskie;54;0.44;14;6;8;160;56;2194;1551;62;1474;15;t26;2021-05-18
warmiñsko-mazurskie;70;0.49;32;4;28;223;55;2257;1817;80;1726;11;t28;2021-05-18
wielkopolskie;281;0.80;16;4;12;800;230;10486;5045;298;4708;39;t30;2021-05-18
zachodniopomorskie;137;0.81;12;0;12;408;137;4566;2787;153;2617;17;t32;2021-05-18
