wojewodztwo;liczba_nowych_zakazen;liczba_ponownych_zakazen;liczba_wszystkich_zakazen;liczba_nowych_zakazen_na_10_tys_mieszkancow;liczba_ponownych_zakazen_na_10_tys_mieszkancow;liczba_wszystkich_zakazen_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Ca³y kraj;269;73;342;0.07;0.02;0.09;6;0;6;602;0;0;4698;393;4296;9;t00;2023-04-26
dolnoœl¹skie;21;1;22;0.07;0.00;0.08;0;0;0;17;0;0;160;23;137;0;t02;2023-04-26
kujawsko-pomorskie;9;1;10;0.04;0.00;0.05;1;0;1;43;0;0;251;10;240;1;t04;2023-04-26
lubelskie;24;10;34;0.11;0.05;0.16;0;0;0;41;0;0;543;39;504;0;t06;2023-04-26
lubuskie;12;3;15;0.12;0.03;0.15;0;0;0;23;0;0;105;16;89;0;t08;2023-04-26
³ódzkie;13;5;18;0.05;0.02;0.07;1;0;1;38;0;0;193;25;168;0;t10;2023-04-26
ma³opolskie;18;3;21;0.05;0.01;0.06;0;0;0;57;0;0;288;25;262;1;t12;2023-04-26
mazowieckie;49;9;58;0.09;0.02;0.11;0;0;0;69;0;0;764;62;702;0;t14;2023-04-26
opolskie;6;1;7;0.06;0.01;0.07;0;0;0;5;0;0;196;9;187;0;t16;2023-04-26
podkarpackie;11;3;14;0.05;0.01;0.07;0;0;0;34;0;0;222;23;199;0;t18;2023-04-26
podlaskie;13;7;20;0.11;0.06;0.17;0;0;0;48;0;0;158;22;136;0;t20;2023-04-26
pomorskie;9;3;12;0.04;0.01;0.05;1;0;1;29;0;0;242;13;229;0;t22;2023-04-26
œl¹skie;17;7;24;0.04;0.02;0.05;0;0;0;80;0;0;433;30;400;3;t24;2023-04-26
œwiêtokrzyskie;8;6;14;0.07;0.05;0.11;0;0;0;15;0;0;103;14;89;0;t26;2023-04-26
warmiñsko-mazurskie;12;3;15;0.08;0.02;0.11;0;0;0;29;0;0;299;19;280;0;t28;2023-04-26
wielkopolskie;15;3;18;0.04;0.01;0.05;2;0;2;16;0;0;187;18;167;2;t30;2023-04-26
zachodniopomorskie;27;8;35;0.16;0.05;0.21;1;0;1;57;0;0;289;36;253;0;t32;2023-04-26
