wojewodztwo;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Ca³y kraj;15190;3.96;186;40;146;26894;8839;400821;77986;16347;60867;772;t00;2021-11-05
dolnoœl¹skie;853;2.94;6;3;3;1526;444;20767;5059;930;4088;41;t02;2021-11-05
kujawsko-pomorskie;713;3.45;8;2;6;1182;292;16346;3834;760;3028;46;t04;2021-11-05
lubelskie;1783;8.48;47;8;39;2979;1698;38277;6221;1921;4233;67;t06;2021-11-05
lubuskie;259;2.56;2;0;2;588;155;8293;1782;281;1483;18;t08;2021-11-05
³ódzkie;893;3.65;19;10;9;1866;520;25805;5813;995;4775;43;t10;2021-11-05
ma³opolskie;854;2.50;9;7;2;1710;332;19257;4765;920;3791;54;t12;2021-11-05
mazowieckie;3470;6.39;17;0;17;4832;1788;96057;14685;3752;10733;200;t14;2021-11-05
opolskie;229;2.33;4;1;3;479;145;7299;1381;242;1129;10;t16;2021-11-05
podkarpackie;708;3.33;23;2;21;1138;331;16284;4113;765;3338;10;t18;2021-11-05
podlaskie;991;8.42;17;1;16;1498;785;25007;3077;1047;1975;55;t20;2021-11-05
pomorskie;718;3.06;1;0;1;1485;394;26638;4266;767;3461;38;t22;2021-11-05
œl¹skie;1025;2.27;14;2;12;2278;534;26297;6964;1090;5819;55;t24;2021-11-05
œwiêtokrzyskie;284;2.31;6;0;6;566;129;6455;1921;310;1593;18;t26;2021-11-05
warmiñsko-mazurskie;556;3.91;4;1;3;1107;329;17710;2748;592;2142;14;t28;2021-11-05
wielkopolskie;856;2.45;6;3;3;1990;419;27246;4871;899;3914;58;t30;2021-11-05
zachodniopomorskie;854;5.04;3;0;3;1634;500;23019;3819;923;2856;40;t32;2021-11-05
