wojewodztwo;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Ca³y kraj;14442;3.77;46;13;33;1071;15308;441766;54865;15437;38720;708;t00;2021-11-13
dolnoœl¹skie;803;2.77;0;0;0;41;915;25131;3134;853;2250;31;t02;2021-11-13
kujawsko-pomorskie;492;2.38;4;2;2;73;570;19708;2077;519;1517;41;t04;2021-11-13
lubelskie;1225;5.82;0;0;0;95;1903;32140;3591;1300;2250;41;t06;2021-11-13
lubuskie;261;2.58;7;3;4;6;264;10854;1251;284;936;31;t08;2021-11-13
³ódzkie;743;3.03;0;0;0;45;1025;28133;3467;818;2629;20;t10;2021-11-13
ma³opolskie;1172;3.43;0;0;0;34;824;27364;4448;1233;3171;44;t12;2021-11-13
mazowieckie;3507;6.46;23;5;18;243;3417;97492;11215;3792;7213;210;t14;2021-11-13
opolskie;345;3.52;0;0;0;18;279;10068;1247;367;868;12;t16;2021-11-13
podkarpackie;724;3.41;1;0;1;60;644;18133;2751;775;1973;3;t18;2021-11-13
podlaskie;631;5.36;6;0;6;33;923;19652;1690;670;992;28;t20;2021-11-13
pomorskie;643;2.74;0;0;0;38;755;31923;3397;686;2662;49;t22;2021-11-13
œl¹skie;1290;2.86;1;0;1;51;1079;34150;5232;1374;3787;71;t24;2021-11-13
œwiêtokrzyskie;256;2.08;0;0;0;17;264;7772;1343;280;1046;17;t26;2021-11-13
warmiñsko-mazurskie;433;3.05;2;2;0;18;623;19294;1473;463;993;17;t28;2021-11-13
wielkopolskie;1036;2.96;0;0;0;115;1004;37785;4084;1076;2965;43;t30;2021-11-13
zachodniopomorskie;694;4.10;2;1;1;183;754;22120;2346;751;1556;39;t32;2021-11-13
