wojewodztwo;liczba_nowych_zakazen;liczba_ponownych_zakazen;liczba_wszystkich_zakazen;liczba_nowych_zakazen_na_10_tys_mieszkancow;liczba_ponownych_zakazen_na_10_tys_mieszkancow;liczba_wszystkich_zakazen_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Ca³y kraj;390;44;434;0.10;0.01;0.11;21;12;9;800;32;0;10220;514;9683;23;t00;2022-05-13
dolnoœl¹skie;26;6;32;0.09;0.02;0.11;0;0;0;70;3;0;522;37;485;0;t02;2022-05-13
kujawsko-pomorskie;13;4;17;0.06;0.02;0.08;0;0;0;25;2;0;291;21;269;1;t04;2022-05-13
lubelskie;31;3;34;0.15;0.01;0.16;0;0;0;85;3;0;976;39;924;13;t06;2022-05-13
lubuskie;7;0;7;0.07;0;0.07;0;0;0;17;0;0;145;7;137;1;t08;2022-05-13
³ódzkie;23;1;24;0.09;0.00;0.10;0;0;0;49;3;0;461;26;435;0;t10;2022-05-13
ma³opolskie;43;6;49;0.13;0.02;0.14;0;0;0;97;2;0;960;63;895;2;t12;2022-05-13
mazowieckie;57;6;63;0.11;0.01;0.12;15;10;5;137;12;0;1896;73;1822;1;t14;2022-05-13
opolskie;12;1;13;0.12;0.01;0.13;0;0;0;14;0;0;215;19;196;0;t16;2022-05-13
podkarpackie;33;2;35;0.16;0.01;0.16;0;0;0;25;2;0;553;38;514;1;t18;2022-05-13
podlaskie;16;1;17;0.14;0.01;0.14;1;0;1;37;0;0;289;22;267;0;t20;2022-05-13
pomorskie;20;2;22;0.09;0.01;0.09;1;0;1;33;0;0;526;24;502;0;t22;2022-05-13
œl¹skie;50;8;58;0.11;0.02;0.13;0;0;0;111;0;0;967;65;899;3;t24;2022-05-13
œwiêtokrzyskie;13;2;15;0.11;0.02;0.12;1;0;1;29;3;0;285;17;268;0;t26;2022-05-13
warmiñsko-mazurskie;6;0;6;0.04;0;0.04;1;1;0;17;0;0;350;10;340;0;t28;2022-05-13
wielkopolskie;15;1;16;0.04;0.00;0.05;2;1;1;29;0;0;537;17;520;0;t30;2022-05-13
zachodniopomorskie;13;1;14;0.08;0.01;0.08;0;0;0;25;2;0;369;22;346;1;t32;2022-05-13
