wojewodztwo;liczba_nowych_zakazen;liczba_ponownych_zakazen;liczba_wszystkich_zakazen;liczba_nowych_zakazen_na_10_tys_mieszkancow;liczba_ponownych_zakazen_na_10_tys_mieszkancow;liczba_wszystkich_zakazen_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Ca³y kraj;4038;789;4827;1.05;0.21;1.26;21;2;19;4356;18;0;12682;5139;7485;58;t00;2022-08-19
dolnoœl¹skie;304;62;366;1.05;0.21;1.26;0;0;0;238;0;0;738;381;354;3;t02;2022-08-19
kujawsko-pomorskie;177;45;222;0.86;0.22;1.07;3;0;3;216;1;0;556;230;324;2;t04;2022-08-19
lubelskie;285;52;337;1.35;0.25;1.60;1;0;1;264;0;0;923;371;546;6;t06;2022-08-19
lubuskie;97;26;123;0.96;0.26;1.22;0;0;0;87;0;0;326;127;197;2;t08;2022-08-19
³ódzkie;249;44;293;1.02;0.18;1.20;2;0;2;264;1;0;666;311;350;5;t10;2022-08-19
ma³opolskie;358;78;436;1.05;0.23;1.28;1;0;1;429;3;0;1143;470;672;1;t12;2022-08-19
mazowieckie;620;115;735;1.14;0.21;1.35;1;1;0;705;4;0;2190;778;1408;4;t14;2022-08-19
opolskie;91;28;119;0.93;0.29;1.21;1;0;1;85;0;0;348;124;221;3;t16;2022-08-19
podkarpackie;215;34;249;1.01;0.16;1.17;1;0;1;216;3;0;611;266;344;1;t18;2022-08-19
podlaskie;211;41;252;1.79;0.35;2.14;3;0;3;276;2;0;553;261;289;3;t20;2022-08-19
pomorskie;158;35;193;0.67;0.15;0.82;0;0;0;193;0;0;569;199;365;5;t22;2022-08-19
œl¹skie;474;92;566;1.05;0.20;1.26;1;0;1;577;1;0;1306;594;701;11;t24;2022-08-19
œwiêtokrzyskie;128;20;148;1.04;0.16;1.20;1;0;1;170;0;0;477;169;306;2;t26;2022-08-19
warmiñsko-mazurskie;140;26;166;0.99;0.18;1.17;0;0;0;177;0;0;491;185;301;5;t28;2022-08-19
wielkopolskie;281;55;336;0.80;0.16;0.96;6;1;5;253;2;0;859;360;495;4;t30;2022-08-19
zachodniopomorskie;179;36;215;1.06;0.21;1.27;0;0;0;189;1;0;497;229;267;1;t32;2022-08-19
