wojewodztwo;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Ca³y kraj;12013;3.13;61;15;46;759;26739;362823;58456;12951;44630;875;t00;2021-04-11
dolnoœl¹skie;1214;4.19;2;1;1;56;2743;32648;4381;1276;3058;47;t02;2021-04-11
kujawsko-pomorskie;524;2.53;2;0;2;42;1218;16554;2094;556;1507;31;t04;2021-04-11
lubelskie;357;1.70;5;0;5;58;1101;14035;1871;390;1455;26;t06;2021-04-11
lubuskie;295;2.92;0;0;0;20;697;9270;1803;325;1464;14;t08;2021-04-11
³ódzkie;722;2.95;10;1;9;95;1569;23379;3174;791;2367;16;t10;2021-04-11
ma³opolskie;1079;3.16;7;6;1;95;2185;31853;5647;1149;4421;77;t12;2021-04-11
mazowieckie;1809;3.33;6;3;3;71;4016;57228;8181;1969;6052;160;t14;2021-04-11
opolskie;293;2.99;4;0;4;14;606;8248;1879;308;1565;6;t16;2021-04-11
podkarpackie;623;2.93;5;0;5;21;1237;17265;2906;683;2202;21;t18;2021-04-11
podlaskie;167;1.42;1;0;1;8;483;6381;1036;175;853;8;t20;2021-04-11
pomorskie;727;3.10;0;0;0;36;1393;19557;3827;793;2932;102;t22;2021-04-11
œl¹skie;1831;4.06;2;1;1;94;4264;53145;6614;1941;4513;160;t24;2021-04-11
œwiêtokrzyskie;371;3.02;0;0;0;18;807;10726;1792;403;1330;59;t26;2021-04-11
warmiñsko-mazurskie;230;1.62;1;0;1;4;730;8825;1259;246;996;17;t28;2021-04-11
wielkopolskie;1125;3.21;14;3;11;86;2722;40581;4617;1232;3327;58;t30;2021-04-11
zachodniopomorskie;484;2.86;2;0;2;41;875;12874;2593;542;2011;40;t32;2021-04-11
