wojewodztwo;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Ca³y kraj;17260;4.50;398;89;309;31682;5263;250598;68383;18372;48920;1091;t00;2021-03-09
dolnoœl¹skie;1047;3.61;29;19;10;2378;356;16734;4229;1141;3022;66;t02;2021-03-09
kujawsko-pomorskie;946;4.57;25;0;25;1991;346;14335;3817;1002;2746;69;t04;2021-03-09
lubelskie;616;2.93;24;3;21;1227;126;9447;3241;645;2549;47;t06;2021-03-09
lubuskie;413;4.09;11;9;2;984;195;7629;1997;448;1522;27;t08;2021-03-09
³ódzkie;1022;4.17;19;1;18;1799;224;13424;4568;1070;3446;52;t10;2021-03-09
ma³opolskie;1497;4.38;16;7;9;2176;360;17521;4971;1557;3317;97;t12;2021-03-09
mazowieckie;2596;4.78;89;15;74;5958;1077;50210;9513;2794;6429;290;t14;2021-03-09
opolskie;250;2.55;6;1;5;458;86;3645;1268;264;991;13;t16;2021-03-09
podkarpackie;976;4.59;18;5;13;1501;361;14611;3472;1049;2397;26;t18;2021-03-09
podlaskie;518;4.40;15;3;12;792;117;6916;1929;539;1368;22;t20;2021-03-09
pomorskie;1207;5.14;20;1;19;2487;692;22193;4570;1269;3225;76;t22;2021-03-09
œl¹skie;2452;5.44;53;12;41;3826;471;25686;8278;2603;5586;89;t24;2021-03-09
œwiêtokrzyskie;338;2.75;12;1;11;640;136;4897;1860;370;1428;62;t26;2021-03-09
warmiñsko-mazurskie;1272;8.95;25;5;20;1715;250;14049;3484;1375;2070;39;t28;2021-03-09
wielkopolskie;1358;3.88;26;7;19;2649;262;20654;5297;1429;3803;65;t30;2021-03-09
zachodniopomorskie;478;2.82;10;0;10;1085;159;8599;2650;523;2098;29;t32;2021-03-09
