wojewodztwo;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt
Ca³y kraj;4683;1.22;110;22;88;307;7934;176192;30965;5187;25208;570;t00
dolnoœl¹skie;251;0.87;2;0;2;12;494;12216;1961;278;1651;32;t02
kujawsko-pomorskie;447;2.16;11;0;11;74;754;12210;2125;529;1545;51;t04
lubelskie;234;1.11;15;1;14;17;360;7480;1521;260;1237;24;t06
lubuskie;145;1.44;4;3;1;4;235;4909;806;170;627;9;t08
³ódzkie;283;1.16;4;2;2;18;437;10961;1983;304;1618;61;t10
ma³opolskie;219;0.64;6;3;3;6;333;8808;1899;243;1617;39;t12
mazowieckie;687;1.27;14;7;7;45;1075;35214;4749;754;3889;106;t14
opolskie;104;1.06;0;0;0;6;227;4022;877;117;747;13;t16
podkarpackie;191;0.90;3;1;2;3;235;5347;1452;211;1217;24;t18
podlaskie;161;1.37;9;0;9;6;260;4999;601;180;401;20;t20
pomorskie;461;1.96;4;0;4;13;781;15624;2310;502;1765;43;t22
œl¹skie;352;0.78;7;0;7;36;605;13134;2279;394;1859;26;t24
œwiêtokrzyskie;81;0.66;1;0;1;4;127;2748;950;95;831;24;t26
warmiñsko-mazurskie;170;1.20;1;0;1;10;477;9151;770;181;576;13;t28
wielkopolskie;509;1.45;23;5;18;39;799;17850;2767;545;2199;23;t30
zachodniopomorskie;259;1.53;6;0;6;14;654;11512;1512;285;1193;34;t32
