wojewodztwo;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt
Ca³y kraj;10548;2.75;438;100;338;16429;13071;168496;58371;11952;45261;1158;t00
dolnoœl¹skie;514;1.77;22;14;8;952;773;10577;3471;565;2846;60;t02
kujawsko-pomorskie;886;4.28;59;5;54;1526;1426;14241;4241;1037;3129;75;t04
lubelskie;512;2.43;32;10;22;791;562;7054;2451;578;1832;41;t06
lubuskie;293;2.90;7;4;3;461;398;5060;1678;384;1273;21;t08
³ódzkie;702;2.87;29;1;28;1087;754;10611;4098;788;3197;113;t10
ma³opolskie;418;1.22;13;9;4;662;353;7765;3335;454;2814;67;t12
mazowieckie;1333;2.46;44;14;30;2626;1675;28601;7310;1458;5647;205;t14
opolskie;195;1.99;8;0;8;302;332;3342;1280;219;1048;13;t16
podkarpackie;291;1.37;11;2;9;367;295;4498;2498;342;2136;20;t18
podlaskie;298;2.53;17;0;17;430;369;4613;1435;335;1080;20;t20
pomorskie;977;4.16;27;5;22;1539;1334;15130;4597;1021;3426;150;t22
œl¹skie;836;1.85;38;7;31;1338;1057;13229;4890;888;3926;76;t24
œwiêtokrzyskie;154;1.25;13;1;12;225;219;2531;1562;192;1335;35;t26
warmiñsko-mazurskie;928;6.53;27;8;19;1022;957;10234;2630;976;1607;47;t28
wielkopolskie;1151;3.29;54;19;35;1755;1411;18128;5235;1365;3788;82;t30
zachodniopomorskie;843;4.98;37;1;36;1334;1005;12852;3304;1098;2109;97;t32
