wojewodztwo;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Ca³y kraj;14325;3.73;709;200;509;26065;14648;218542;95608;15956;78346;1306;t00;2021-12-29
dolnoœl¹skie;1325;4.57;32;13;19;1911;1200;18258;6953;1451;5400;102;t02;2021-12-29
kujawsko-pomorskie;719;3.47;67;22;45;1582;1013;11154;4844;810;3963;71;t04;2021-12-29
lubelskie;443;2.11;33;7;26;1314;527;7333;4279;480;3773;26;t06;2021-12-29
lubuskie;436;4.32;15;9;6;684;416;6798;2457;483;1944;30;t08;2021-12-29
³ódzkie;853;3.48;36;12;24;1700;1056;13229;6457;981;5416;60;t10;2021-12-29
ma³opolskie;1555;4.55;60;24;36;2211;1085;19784;8314;1705;6432;177;t12;2021-12-29
mazowieckie;1884;3.47;78;18;60;3367;2006;33973;14423;2123;12110;190;t14;2021-12-29
opolskie;544;5.55;40;7;33;674;402;7183;2589;587;1959;43;t16;2021-12-29
podkarpackie;471;2.22;30;5;25;940;499;8731;4182;532;3628;22;t18;2021-12-29
podlaskie;169;1.44;21;2;19;555;222;3711;2015;191;1815;9;t20;2021-12-29
pomorskie;1005;4.28;40;7;33;1811;1022;15307;6523;1113;5267;143;t22;2021-12-29
œl¹skie;2024;4.49;75;16;59;3206;1698;26018;11635;2258;9221;156;t24;2021-12-29
œwiêtokrzyskie;334;2.72;36;20;16;736;330;5381;2355;386;1927;42;t26;2021-12-29
warmiñsko-mazurskie;493;3.47;31;9;22;1029;606;7060;3088;545;2505;38;t28;2021-12-29
wielkopolskie;1276;3.65;81;21;60;2737;1632;23374;7528;1389;6027;112;t30;2021-12-29
zachodniopomorskie;693;4.09;34;8;26;1560;859;11169;4478;805;3596;77;t32;2021-12-29
