wojewodztwo;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Ca³y kraj;15250;3.98;289;58;231;23209;7492;216011;62892;16221;45663;1008;t00;2021-03-03
dolnoœl¹skie;1174;4.05;21;7;14;1521;411;12585;4561;1266;3247;48;t02;2021-03-03
kujawsko-pomorskie;1049;5.07;21;4;17;1444;568;12236;3863;1130;2655;78;t04;2021-03-03
lubelskie;477;2.27;17;8;9;877;350;8206;2528;514;1986;28;t06;2021-03-03
lubuskie;490;4.85;10;9;1;757;213;6614;1672;513;1147;12;t08;2021-03-03
³ódzkie;793;3.24;8;1;7;1264;435;11313;3999;832;3119;48;t10;2021-03-03
ma³opolskie;953;2.79;11;6;5;1508;341;13744;3975;996;2917;62;t12;2021-03-03
mazowieckie;2563;4.72;45;8;37;4416;1312;43830;9993;2766;6990;237;t14;2021-03-03
opolskie;266;2.71;1;0;1;332;88;3138;1266;278;972;16;t16;2021-03-03
podkarpackie;941;4.43;11;1;10;1145;426;12315;3122;1006;2084;32;t18;2021-03-03
podlaskie;438;3.72;9;1;8;629;223;5936;1559;462;1070;27;t20;2021-03-03
pomorskie;1337;5.70;23;0;23;1949;644;20490;4699;1399;3194;106;t22;2021-03-03
œl¹skie;1620;3.59;45;3;42;2552;594;20361;6281;1709;4493;79;t24;2021-03-03
œwiêtokrzyskie;381;3.10;6;0;6;447;187;3940;2054;424;1575;55;t26;2021-03-03
warmiñsko-mazurskie;831;5.85;17;0;17;1627;735;15085;2425;866;1521;38;t28;2021-03-03
wielkopolskie;1251;3.57;28;10;18;1925;523;18326;5036;1324;3646;66;t30;2021-03-03
zachodniopomorskie;476;2.81;16;0;16;800;358;7851;2577;508;2018;51;t32;2021-03-03
