wojewodztwo;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Ca³y kraj;8427;2.20;541;139;402;11865;10438;202361;65831;9266;55706;859;t00;2021-04-28
dolnoœl¹skie;934;3.22;47;23;24;1042;926;18402;5270;1009;4190;71;t02;2021-04-28
kujawsko-pomorskie;425;2.05;29;12;17;733;644;8975;2969;455;2470;44;t04;2021-04-28
lubelskie;411;1.95;12;0;12;609;662;9415;3486;442;3004;40;t06;2021-04-28
lubuskie;171;1.69;2;2;0;270;215;4670;2026;200;1813;13;t08;2021-04-28
³ódzkie;561;2.29;58;5;53;922;844;13843;4560;616;3891;53;t10;2021-04-28
ma³opolskie;620;1.82;38;13;25;848;745;16237;4480;676;3709;95;t12;2021-04-28
mazowieckie;1025;1.89;83;16;67;1473;1483;28964;9887;1179;8563;145;t14;2021-04-28
opolskie;320;3.26;11;1;10;306;225;5170;1742;335;1395;12;t16;2021-04-28
podkarpackie;215;1.01;23;5;18;400;361;6775;2967;261;2679;27;t18;2021-04-28
podlaskie;164;1.39;9;1;8;247;161;3472;1446;180;1251;15;t20;2021-04-28
pomorskie;427;1.82;39;3;36;607;437;9650;3943;469;3433;41;t22;2021-04-28
œl¹skie;1328;2.95;69;23;46;1736;1449;26371;7416;1447;5851;118;t24;2021-04-28
œwiêtokrzyskie;234;1.90;24;4;20;342;358;5657;1662;254;1373;35;t26;2021-04-28
warmiñsko-mazurskie;272;1.91;19;2;17;426;320;4986;2247;288;1944;15;t28;2021-04-28
wielkopolskie;846;2.42;61;29;32;1205;1065;21274;5242;913;4261;68;t30;2021-04-28
zachodniopomorskie;405;2.39;17;0;17;681;497;8438;3158;463;2654;41;t32;2021-04-28
