wojewodztwo;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Ca³y kraj;32835;8.56;315;78;237;43630;13097;619100;125082;38157;84817;2108;t00;2022-01-19
dolnoœl¹skie;2789;9.62;17;8;9;3395;898;50219;8678;3219;5306;153;t02;2022-01-19
kujawsko-pomorskie;1161;5.61;22;4;18;1735;637;15780;5290;1348;3876;66;t04;2022-01-19
lubelskie;1543;7.34;16;0;16;2386;692;27897;7381;1760;5581;40;t06;2022-01-19
lubuskie;454;4.49;10;1;9;713;188;8286;2397;550;1822;25;t08;2022-01-19
³ódzkie;1773;7.24;36;9;27;2700;858;37223;8384;2117;6140;127;t10;2022-01-19
ma³opolskie;3653;10.70;26;10;16;3668;1538;48503;10835;4188;6471;176;t12;2022-01-19
mazowieckie;5863;10.80;34;14;20;6366;2196;121684;22196;6659;14859;678;t14;2022-01-19
opolskie;753;7.68;12;2;10;1079;225;16898;2786;883;1848;55;t16;2022-01-19
podkarpackie;1913;9.00;27;0;27;2592;738;39499;6722;2237;4446;39;t18;2022-01-19
podlaskie;596;5.07;5;0;5;922;250;13657;2538;713;1799;26;t20;2022-01-19
pomorskie;2145;9.14;19;4;15;3125;1101;52747;7728;2500;5072;156;t22;2022-01-19
œl¹skie;4971;11.03;28;2;26;7086;1296;93579;15760;5829;9676;255;t24;2022-01-19
œwiêtokrzyskie;642;5.22;16;7;9;916;315;9031;2962;768;2136;58;t26;2022-01-19
warmiñsko-mazurskie;973;6.85;12;8;4;1585;437;21771;4743;1191;3504;48;t28;2022-01-19
wielkopolskie;2396;6.85;28;9;19;3231;1060;37290;9008;2783;6095;130;t30;2022-01-19
zachodniopomorskie;1050;6.20;7;0;7;2070;621;24882;5228;1236;3936;56;t32;2022-01-19
