wojewodztwo;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Ca³y kraj;52;0.01;0;0;0;271;204;64751;21443;81;21320;42;t00;2021-06-27
dolnoœl¹skie;3;0.01;0;0;0;10;15;4937;1041;5;1036;0;t02;2021-06-27
kujawsko-pomorskie;2;0.01;0;0;0;14;6;1750;842;6;835;1;t04;2021-06-27
lubelskie;1;0.00;0;0;0;9;21;3362;898;1;897;0;t06;2021-06-27
lubuskie;2;0.02;0;0;0;9;3;1488;459;2;457;0;t08;2021-06-27
³ódzkie;2;0.01;0;0;0;48;13;5427;1207;5;1197;5;t10;2021-06-27
ma³opolskie;6;0.02;0;0;0;17;13;4041;2151;9;2137;5;t12;2021-06-27
mazowieckie;10;0.02;0;0;0;24;30;20581;3297;13;3280;4;t14;2021-06-27
opolskie;0;0;0;0;0;5;7;1403;448;0;447;1;t16;2021-06-27
podkarpackie;7;0.03;0;0;0;11;9;1846;1202;10;1192;0;t18;2021-06-27
podlaskie;0;0;0;0;0;3;7;1073;516;2;514;0;t20;2021-06-27
pomorskie;1;0.00;0;0;0;7;7;3642;1545;2;1536;7;t22;2021-06-27
œl¹skie;4;0.01;0;0;0;24;27;4805;2306;6;2289;11;t24;2021-06-27
œwiêtokrzyskie;3;0.02;0;0;0;7;11;2483;702;4;695;3;t26;2021-06-27
warmiñsko-mazurskie;1;0.01;0;0;0;3;3;1085;466;1;465;0;t28;2021-06-27
wielkopolskie;8;0.02;0;0;0;21;20;4847;1424;13;1406;5;t30;2021-06-27
zachodniopomorskie;1;0.01;0;0;0;59;12;1959;811;1;810;0;t32;2021-06-27
