wojewodztwo;liczba_nowych_zakazen;liczba_ponownych_zakazen;liczba_wszystkich_zakazen;liczba_nowych_zakazen_na_10_tys_mieszkancow;liczba_ponownych_zakazen_na_10_tys_mieszkancow;liczba_wszystkich_zakazen_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Ca³y kraj;846;243;1089;0.22;0.06;0.28;7;3;4;2526;0;0;10528;1176;9327;25;t00;2022-12-12
dolnoœl¹skie;65;13;78;0.22;0.04;0.27;2;2;0;146;0;0;599;82;516;1;t02;2022-12-12
kujawsko-pomorskie;70;18;88;0.34;0.09;0.43;1;0;1;191;0;0;678;89;588;1;t04;2022-12-12
lubelskie;45;9;54;0.21;0.04;0.26;0;0;0;204;0;0;940;60;879;1;t06;2022-12-12
lubuskie;29;10;39;0.29;0.10;0.39;0;0;0;53;0;0;224;40;182;2;t08;2022-12-12
³ódzkie;61;13;74;0.25;0.05;0.30;0;0;0;141;0;0;516;82;433;1;t10;2022-12-12
ma³opolskie;55;14;69;0.16;0.04;0.20;1;1;0;206;0;0;723;74;647;2;t12;2022-12-12
mazowieckie;118;27;145;0.22;0.05;0.27;0;0;0;372;0;0;1528;155;1369;4;t14;2022-12-12
opolskie;36;14;50;0.37;0.14;0.51;0;0;0;87;0;0;396;54;340;2;t16;2022-12-12
podkarpackie;21;3;24;0.10;0.01;0.11;0;0;0;63;0;0;460;33;427;0;t18;2022-12-12
podlaskie;31;5;36;0.26;0.04;0.31;0;0;0;121;0;0;443;36;407;0;t20;2022-12-12
pomorskie;34;14;48;0.14;0.06;0.20;1;0;1;189;0;0;585;51;533;1;t22;2022-12-12
œl¹skie;111;43;154;0.25;0.10;0.34;0;0;0;304;0;0;1111;169;939;3;t24;2022-12-12
œwiêtokrzyskie;26;6;32;0.21;0.05;0.26;0;0;0;87;0;0;332;33;299;0;t26;2022-12-12
warmiñsko-mazurskie;32;20;52;0.23;0.14;0.37;1;0;1;86;0;0;482;57;424;1;t28;2022-12-12
wielkopolskie;54;15;69;0.15;0.04;0.20;0;0;0;130;0;0;731;75;655;1;t30;2022-12-12
zachodniopomorskie;39;18;57;0.23;0.11;0.34;1;0;1;145;0;0;384;60;319;5;t32;2022-12-12
