wojewodztwo;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Ca³y kraj;12100;3.15;303;55;248;19492;9205;191595;56971;12989;43121;861;t00;2021-02-26
dolnoœl¹skie;799;2.76;10;4;6;1222;578;10931;3919;861;3017;41;t02;2021-02-26
kujawsko-pomorskie;708;3.42;21;4;17;1272;793;11704;3896;834;2992;70;t04;2021-02-26
lubelskie;408;1.94;42;8;34;892;337;8158;2690;445;2214;31;t06;2021-02-26
lubuskie;383;3.79;8;3;5;591;419;6185;1671;424;1230;17;t08;2021-02-26
³ódzkie;710;2.90;15;4;11;1046;377;9389;3643;751;2841;51;t10;2021-02-26
ma³opolskie;629;1.84;19;7;12;1222;418;10925;3657;674;2953;30;t12;2021-02-26
mazowieckie;2272;4.19;33;10;23;3706;1645;39611;9261;2432;6633;196;t14;2021-02-26
opolskie;120;1.22;5;0;5;245;154;2814;1169;134;1027;8;t16;2021-02-26
podkarpackie;684;3.22;30;1;29;938;479;10405;2726;727;1977;22;t18;2021-02-26
podlaskie;327;2.78;11;0;11;586;293;5754;1493;351;1119;23;t20;2021-02-26
pomorskie;1050;4.47;38;1;37;1613;836;19056;4324;1104;3104;116;t22;2021-02-26
œl¹skie;1272;2.82;27;3;24;2046;735;15663;5433;1349;4030;54;t24;2021-02-26
œwiêtokrzyskie;269;2.19;3;0;3;347;200;3109;1678;291;1303;84;t26;2021-02-26
warmiñsko-mazurskie;943;6.64;11;3;8;1415;749;13601;2550;968;1554;28;t28;2021-02-26
wielkopolskie;936;2.67;19;7;12;1598;710;16236;4458;984;3429;45;t30;2021-02-26
zachodniopomorskie;455;2.69;11;0;11;744;413;8028;2332;508;1789;35;t32;2021-02-26
