wojewodztwo;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt
Ca³y kraj;5048;1.32;68;8;60;297;10804;165716;20632;5720;14202;710;t00
dolnoœl¹skie;219;0.76;;;;5;595;10726;1060;260;788;12;t02
kujawsko-pomorskie;472;2.28;11;;11;60;996;14878;1382;552;802;28;t04
lubelskie;268;1.27;7;;7;22;590;7939;1016;292;713;11;t06
lubuskie;111;1.10;;;;8;437;5546;383;116;256;11;t08
³ódzkie;280;1.14;;;;30;710;10770;1148;309;804;35;t10
ma³opolskie;169;0.50;1;;1;4;326;5596;1348;197;973;178;t12
mazowieckie;741;1.37;19;;19;38;1331;25022;3121;814;2192;115;t14
opolskie;97;0.99;1;;1;4;234;3686;331;102;227;2;t16
podkarpackie;132;0.62;1;;1;;240;4117;704;180;506;18;t18
podlaskie;115;0.98;2;1;1;6;200;4270;410;130;278;2;t20
pomorskie;487;2.08;;;;36;899;14992;1583;516;1019;48;t22
œl¹skie;285;0.63;2;;2;11;821;12800;1522;335;1068;119;t24
œwiêtokrzyskie;82;0.67;4;;4;4;118;2285;636;105;489;42;t26
warmiñsko-mazurskie;315;2.22;1;;1;11;933;11656;748;331;409;8;t28
wielkopolskie;518;1.48;15;7;8;29;1411;17940;2127;640;1448;39;t30
zachodniopomorskie;557;3.29;4;;4;29;877;13483;1375;612;741;22;t32
