wojewodztwo;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Ca³y kraj;96;0.03;21;8;13;1849;170;84100;42386;151;42148;87;t00;2021-07-01
dolnoœl¹skie;5;0.02;1;1;0;186;18;7554;2895;9;2881;5;t02;2021-07-01
kujawsko-pomorskie;5;0.02;0;0;0;94;6;2546;1670;6;1658;6;t04;2021-07-01
lubelskie;6;0.03;2;0;2;91;7;3613;2129;8;2117;4;t06;2021-07-01
lubuskie;2;0.02;2;2;0;41;2;1952;1000;4;992;4;t08;2021-07-01
³ódzkie;1;0.00;0;0;0;278;17;6922;2874;6;2863;5;t10;2021-07-01
ma³opolskie;7;0.02;3;3;0;133;21;5821;3301;14;3272;15;t12;2021-07-01
mazowieckie;18;0.03;5;1;4;275;26;23482;5897;21;5866;10;t14;2021-07-01
opolskie;3;0.03;1;0;1;29;2;1975;837;4;832;1;t16;2021-07-01
podkarpackie;3;0.01;1;0;1;49;6;2749;2084;8;2068;8;t18;2021-07-01
podlaskie;1;0.01;0;0;0;29;3;1590;928;1;927;0;t20;2021-07-01
pomorskie;1;0.00;1;0;1;92;4;5075;2308;1;2300;7;t22;2021-07-01
œl¹skie;9;0.02;0;0;0;182;22;7263;4880;13;4860;7;t24;2021-07-01
œwiêtokrzyskie;1;0.01;2;0;2;47;4;1911;1296;1;1293;2;t26;2021-07-01
warmiñsko-mazurskie;3;0.02;2;0;2;49;5;1582;1227;4;1221;2;t28;2021-07-01
wielkopolskie;16;0.05;1;1;0;173;17;7213;2781;28;2748;5;t30;2021-07-01
zachodniopomorskie;7;0.04;0;0;0;99;9;2793;1752;15;1734;3;t32;2021-07-01
