wojewodztwo;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Cały kraj;13870;3.62;609;89;520;20365;274769;55056;15171;38468;1417;t00;2020-12-01
dolnośląskie;848;2.93;54;8;46;1523;21272;3445;929;2439;77;t02;2020-12-01
kujawsko-pomorskie;1240;5.99;32;2;30;1698;19268;4108;1302;2672;134;t04;2020-12-01
lubelskie;758;3.6;49;7;42;980;15266;2840;857;1939;44;t06;2020-12-01
lubuskie;384;3.8;8;1;7;632;8589;1352;422;900;30;t08;2020-12-01
łódzkie;1011;4.13;31;8;23;1349;17083;4266;1109;3015;142;t10;2020-12-01
małopolskie;827;2.42;42;15;27;955;14364;4744;957;3702;85;t12;2020-12-01
mazowieckie;1644;3.03;71;1;70;2852;39070;8409;1831;6297;281;t14;2020-12-01
opolskie;257;2.62;39;2;37;553;8193;883;290;578;15;t16;2020-12-01
podkarpackie;515;2.42;31;6;25;531;9476;2132;566;1540;26;t18;2020-12-01
podlaskie;389;3.31;5;0;5;512;7639;1382;418;955;9;t20;2020-12-01
pomorskie;1069;4.56;46;13;33;1530;19949;3999;1177;2638;184;t22;2020-12-01
śląskie;1507;3.34;65;6;59;2124;27154;5839;1625;4101;113;t24;2020-12-01
świętokrzyskie;275;2.24;25;3;22;359;5986;1561;323;1183;55;t26;2020-12-01
warmińsko-mazurskie;783;5.51;31;0;31;1337;15444;2298;828;1419;51;t28;2020-12-01
wielkopolskie;1579;4.51;56;17;39;2167;31060;4637;1676;2869;92;t30;2020-12-01
zachodniopomorskie;754;4.45;24;0;24;1263;14955;2622;818;1743;61;t32;2020-12-01
