wojewodztwo;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Ca³y kraj;3000;0.78;60;14;46;8044;1427;111191;44889;3313;41385;191;t00;2021-10-13
dolnoœl¹skie;107;0.37;3;2;1;413;83;6283;2603;123;2474;6;t02;2021-10-13
kujawsko-pomorskie;90;0.43;1;0;1;365;59;3557;1838;104;1714;20;t04;2021-10-13
lubelskie;671;3.19;18;2;16;1342;300;14635;3752;705;3025;22;t06;2021-10-13
lubuskie;33;0.33;0;0;0;138;17;2175;1138;37;1094;7;t08;2021-10-13
³ódzkie;167;0.68;5;3;2;457;85;7715;3206;185;2996;25;t10;2021-10-13
ma³opolskie;136;0.40;0;0;0;485;91;5148;2943;169;2764;10;t12;2021-10-13
mazowieckie;539;0.99;11;1;10;1329;225;26765;6725;600;6094;31;t14;2021-10-13
opolskie;32;0.33;2;1;1;139;18;2008;1001;37;961;3;t16;2021-10-13
podkarpackie;154;0.72;3;1;2;331;69;3863;2575;174;2400;1;t18;2021-10-13
podlaskie;313;2.66;2;0;2;605;119;8216;1907;333;1562;12;t20;2021-10-13
pomorskie;161;0.69;1;0;1;442;72;6728;2677;178;2488;11;t22;2021-10-13
œl¹skie;143;0.32;3;1;2;601;60;6000;4711;166;4532;13;t24;2021-10-13
œwiêtokrzyskie;39;0.32;0;0;0;135;24;1449;1241;42;1191;8;t26;2021-10-13
warmiñsko-mazurskie;82;0.58;3;2;1;297;52;3477;1829;87;1740;2;t28;2021-10-13
wielkopolskie;140;0.40;5;1;4;485;52;7489;2541;146;2386;9;t30;2021-10-13
zachodniopomorskie;155;0.92;3;0;3;467;95;5656;2087;185;1894;8;t32;2021-10-13
