wojewodztwo;liczba_nowych_zakazen;liczba_ponownych_zakazen;liczba_wszystkich_zakazen;liczba_nowych_zakazen_na_10_tys_mieszkancow;liczba_ponownych_zakazen_na_10_tys_mieszkancow;liczba_wszystkich_zakazen_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Ca³y kraj;59;13;72;0.02;0.00;0.02;3;0;3;191;0;0;2361;82;2278;1;t00;2023-05-24
dolnoœl¹skie;0;0;0;0;0;0;0;0;0;1;0;0;49;0;49;0;t02;2023-05-24
kujawsko-pomorskie;8;0;8;0.04;0;0.04;0;0;0;20;0;0;108;8;100;0;t04;2023-05-24
lubelskie;3;0;3;0.01;0;0.01;0;0;0;12;0;0;311;5;306;0;t06;2023-05-24
lubuskie;1;0;1;0.01;0;0.01;0;0;0;6;0;0;44;1;43;0;t08;2023-05-24
³ódzkie;2;0;2;0.01;0;0.01;0;0;0;13;0;0;126;3;123;0;t10;2023-05-24
ma³opolskie;4;1;5;0.01;0.00;0.01;0;0;0;25;0;0;110;6;104;0;t12;2023-05-24
mazowieckie;8;2;10;0.01;0.00;0.02;2;0;2;31;0;0;452;12;440;0;t14;2023-05-24
opolskie;1;0;1;0.01;0;0.01;0;0;0;2;0;0;129;1;128;0;t16;2023-05-24
podkarpackie;3;0;3;0.01;0;0.01;0;0;0;6;0;0;137;3;134;0;t18;2023-05-24
podlaskie;8;1;9;0.07;0.01;0.08;0;0;0;11;0;0;77;9;68;0;t20;2023-05-24
pomorskie;3;0;3;0.01;0;0.01;0;0;0;6;0;0;82;3;79;0;t22;2023-05-24
œl¹skie;3;4;7;0.01;0.01;0.02;1;0;1;26;0;0;216;7;209;0;t24;2023-05-24
œwiêtokrzyskie;3;0;3;0.02;0;0.02;0;0;0;1;0;0;65;6;59;0;t26;2023-05-24
warmiñsko-mazurskie;4;2;6;0.03;0.01;0.04;0;0;0;6;0;0;148;6;142;0;t28;2023-05-24
wielkopolskie;3;0;3;0.01;0;0.01;0;0;0;12;0;0;83;3;79;1;t30;2023-05-24
zachodniopomorskie;4;3;7;0.02;0.02;0.04;0;0;0;13;0;0;81;8;73;0;t32;2023-05-24
