wojewodztwo;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Cały kraj;15360;4.0;674;152;522;23488;341659;54288;16672;36105;1511;t00;2020-11-24
dolnośląskie;820;2.83;37;21;16;1788;27332;3671;935;2643;93;t02;2020-11-24
kujawsko-pomorskie;1327;6.41;35;13;22;1727;20641;4925;1380;3449;96;t04;2020-11-24
lubelskie;939;4.46;52;3;49;1177;18522;2803;1063;1637;103;t06;2020-11-24
lubuskie;506;5.01;8;2;6;623;10579;1608;597;951;60;t08;2020-11-24
łódzkie;1007;4.11;60;24;36;1528;20498;3813;1089;2647;77;t10;2020-11-24
małopolskie;951;2.79;86;28;58;1197;21682;4999;1062;3793;144;t12;2020-11-24
mazowieckie;1586;2.92;94;11;83;3459;46905;6598;1791;4565;242;t14;2020-11-24
opolskie;466;4.75;39;2;37;619;10814;1380;503;841;36;t16;2020-11-24
podkarpackie;589;2.77;36;3;33;754;14455;2201;632;1526;43;t18;2020-11-24
podlaskie;449;3.82;13;0;13;672;9938;1236;469;756;11;t20;2020-11-24
pomorskie;1138;4.85;25;22;3;1705;24216;3486;1215;2124;147;t22;2020-11-24
śląskie;1938;4.3;53;4;49;2450;36339;6163;2058;3995;110;t24;2020-11-24
świętokrzyskie;301;2.45;19;7;12;438;8485;1289;326;911;52;t26;2020-11-24
warmińsko-mazurskie;860;6.05;34;4;30;1363;16321;2348;894;1379;75;t28;2020-11-24
wielkopolskie;1418;4.05;66;6;60;2513;38161;4346;1481;2750;115;t30;2020-11-24
zachodniopomorskie;1014;5.99;17;2;15;1474;16771;3049;1121;1838;90;t32;2020-11-24
