wojewodztwo;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt
Ca³y kraj;12955;3.38;565;125;440;17657;4928;161160;54230;14149;38997;1084;t00
dolnoœl¹skie;674;2.33;32;11;21;1017;225;10596;3691;735;2890;66;t02
kujawsko-pomorskie;1106;5.34;47;12;35;1618;473;14676;3948;1199;2652;97;t04
lubelskie;609;2.90;37;14;23;850;177;7362;2544;649;1864;31;t06
lubuskie;349;3.45;11;11;;525;238;5136;1472;426;1028;18;t08
³ódzkie;801;3.27;36;8;28;1200;340;10617;3462;887;2476;99;t10
ma³opolskie;541;1.58;30;14;16;681;187;5823;3090;598;2421;71;t12
mazowieckie;1600;2.95;80;9;71;2723;547;24466;7768;1766;5801;201;t14
opolskie;206;2.10;28;3;25;277;109;3576;1061;258;786;17;t16
podkarpackie;279;1.31;19;;19;375;115;3917;1690;318;1356;16;t18
podlaskie;426;3.62;16;;16;477;77;3993;1357;441;888;28;t20
pomorskie;1101;4.69;45;7;38;1471;623;14401;4343;1203;3032;108;t22
œl¹skie;1299;2.88;65;2;63;1701;325;13097;5170;1411;3661;98;t24
œwiêtokrzyskie;159;1.29;20;1;19;276;109;2381;1086;182;879;25;t26
warmiñsko-mazurskie;988;6.96;15;2;13;1209;229;10571;3102;1026;2022;54;t28
wielkopolskie;1585;4.53;54;31;23;1894;363;17424;5067;1688;3322;57;t30
zachodniopomorskie;996;5.88;30;;30;1354;680;13102;2867;1073;1735;59;t32
