wojewodztwo;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Ca³y kraj;24239;6.32;463;124;339;36698;7737;436285;96830;26288;69302;1240;t00;2021-11-16
dolnoœl¹skie;1712;5.91;16;5;11;2217;385;27504;6675;1839;4761;75;t02;2021-11-16
kujawsko-pomorskie;973;4.70;26;8;18;2055;277;21251;4571;1031;3481;59;t04;2021-11-16
lubelskie;1938;9.21;93;29;64;2784;807;29452;6115;2058;3994;63;t06;2021-11-16
lubuskie;363;3.59;3;0;3;959;77;11019;2077;404;1651;22;t08;2021-11-16
³ódzkie;1543;6.30;25;5;20;2394;555;25428;6842;1685;5104;53;t10;2021-11-16
ma³opolskie;1538;4.51;27;18;9;2683;499;29572;6310;1625;4602;83;t12;2021-11-16
mazowieckie;5084;9.37;64;12;52;6061;2035;91460;17865;5442;12090;333;t14;2021-11-16
opolskie;531;5.41;24;4;20;981;124;11012;2110;557;1539;14;t16;2021-11-16
podkarpackie;988;4.65;30;3;27;1525;356;17805;4809;1071;3726;12;t18;2021-11-16
podlaskie;984;8.36;27;2;25;1440;422;16813;2958;1058;1856;44;t20;2021-11-16
pomorskie;1015;4.33;9;0;9;2256;469;31769;5152;1078;3994;80;t22;2021-11-16
œl¹skie;2728;6.05;46;16;30;4029;489;38744;10556;2915;7505;136;t24;2021-11-16
œwiêtokrzyskie;491;3.99;22;5;17;776;123;7821;2452;536;1893;23;t26;2021-11-16
warmiñsko-mazurskie;790;5.56;8;7;1;1469;232;17312;3590;1214;2351;25;t28;2021-11-16
wielkopolskie;2135;6.10;30;9;21;3060;428;37953;7468;2219;5116;133;t30;2021-11-16
zachodniopomorskie;1238;7.31;13;1;12;1958;412;21262;4793;1340;3378;75;t32;2021-11-16
