wojewodztwo;liczba_nowych_zakazen;liczba_ponownych_zakazen;liczba_wszystkich_zakazen;liczba_nowych_zakazen_na_10_tys_mieszkancow;liczba_ponownych_zakazen_na_10_tys_mieszkancow;liczba_wszystkich_zakazen_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Ca³y kraj;4024;795;4819;1.05;0.21;1.26;34;4;30;4253;8;0;12840;5090;7704;46;t00;2022-08-18
dolnoœl¹skie;240;49;289;0.83;0.17;1.00;3;0;3;234;0;0;701;308;392;1;t02;2022-08-18
kujawsko-pomorskie;202;45;247;0.98;0.22;1.19;1;0;1;211;1;0;571;264;306;1;t04;2022-08-18
lubelskie;259;53;312;1.23;0.25;1.48;1;1;0;260;0;0;905;327;576;2;t06;2022-08-18
lubuskie;72;13;85;0.71;0.13;0.84;2;1;1;66;1;0;215;89;123;3;t08;2022-08-18
³ódzkie;294;47;341;1.20;0.19;1.39;3;0;3;315;1;0;772;361;407;4;t10;2022-08-18
ma³opolskie;342;60;402;1.00;0.18;1.18;3;1;2;376;0;0;994;414;577;3;t12;2022-08-18
mazowieckie;662;146;808;1.22;0.27;1.49;3;0;3;685;0;0;2227;848;1374;5;t14;2022-08-18
opolskie;82;20;102;0.84;0.20;1.04;0;0;0;88;0;0;392;116;276;0;t16;2022-08-18
podkarpackie;203;35;238;0.95;0.16;1.12;2;0;2;178;0;0;636;248;385;3;t18;2022-08-18
podlaskie;208;37;245;1.77;0.31;2.08;2;0;2;286;3;0;560;259;299;2;t20;2022-08-18
pomorskie;200;42;242;0.85;0.18;1.03;6;1;5;207;1;0;562;249;308;5;t22;2022-08-18
œl¹skie;455;101;556;1.01;0.22;1.23;5;0;5;559;0;0;1413;590;816;7;t24;2022-08-18
œwiêtokrzyskie;157;25;182;1.28;0.20;1.48;0;0;0;192;1;0;487;189;294;4;t26;2022-08-18
warmiñsko-mazurskie;163;27;190;1.15;0.19;1.34;1;0;1;170;0;0;640;199;440;1;t28;2022-08-18
wielkopolskie;258;55;313;0.74;0.16;0.89;1;0;1;245;0;0;791;349;440;2;t30;2022-08-18
zachodniopomorskie;163;39;202;0.96;0.23;1.19;1;0;1;170;0;0;476;209;266;1;t32;2022-08-18
