wojewodztwo;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Ca³y kraj;4326;1.13;253;40;213;17776;5133;152614;42046;5119;36392;535;t00;2021-02-01
dolnoœl¹skie;236;0.81;23;8;15;1046;337;10229;3652;294;3320;38;t02;2021-02-01
kujawsko-pomorskie;449;2.17;22;0;22;1565;487;10571;3518;531;2938;49;t04;2021-02-01
lubelskie;256;1.22;19;1;18;852;272;6479;2169;298;1846;25;t06;2021-02-01
lubuskie;84;0.83;2;2;0;570;149;4377;1052;104;936;12;t08;2021-02-01
³ódzkie;238;0.97;18;2;16;982;299;10020;3229;306;2867;56;t10;2021-02-01
ma³opolskie;244;0.71;20;9;11;875;200;7377;2462;263;2166;33;t12;2021-02-01
mazowieckie;586;1.08;44;6;38;2817;820;31563;5207;693;4423;91;t14;2021-02-01
opolskie;55;0.56;8;0;8;344;101;3033;893;69;819;5;t16;2021-02-01
podkarpackie;152;0.71;10;2;8;579;169;4813;1950;215;1726;9;t18;2021-02-01
podlaskie;150;1.27;2;0;2;614;202;4703;1016;179;832;5;t20;2021-02-01
pomorskie;326;1.39;32;3;29;1502;536;13420;2254;366;1864;24;t22;2021-02-01
œl¹skie;343;0.76;18;2;16;1674;408;11683;3933;400;3489;44;t24;2021-02-01
œwiêtokrzyskie;95;0.77;1;0;1;292;81;2318;1176;149;1003;24;t26;2021-02-01
warmiñsko-mazurskie;377;2.65;11;4;7;1174;214;7914;2010;410;1582;18;t28;2021-02-01
wielkopolskie;336;0.96;9;0;9;1810;484;15369;3247;398;2815;34;t30;2021-02-01
zachodniopomorskie;272;1.61;14;1;13;1074;328;8734;2132;302;1780;50;t32;2021-02-01
