wojewodztwo;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt
Ca³y kraj;6055;1.58;142;37;105;296;7705;178093;55247;6820;47560;867;t00
dolnoœl¹skie;302;1.04;1;0;1;13;331;11942;3444;324;3079;41;t02
kujawsko-pomorskie;658;3.18;16;1;15;49;919;13378;3338;719;2548;71;t04
lubelskie;318;1.51;10;2;8;18;431;7531;2614;344;2217;53;t06
lubuskie;247;2.45;5;3;2;5;197;5107;1724;301;1408;15;t08
³ódzkie;351;1.43;5;1;4;25;551;11040;2750;376;2328;46;t10
ma³opolskie;225;0.66;7;7;0;9;314;8758;2955;259;2656;40;t12
mazowieckie;816;1.50;13;3;10;36;1060;33706;8852;907;7766;179;t14
opolskie;99;1.01;1;0;1;5;73;4171;1515;113;1375;27;t16
podkarpackie;177;0.83;12;4;8;4;178;4953;2008;210;1780;18;t18
podlaskie;121;1.03;2;0;2;3;242;5019;776;136;636;4;t20
pomorskie;603;2.57;1;0;1;31;746;15889;4613;641;3879;93;t22
œl¹skie;408;0.91;6;1;5;34;548;13556;4991;454;4478;59;t24
œwiêtokrzyskie;125;1.02;1;0;1;2;106;2545;1625;148;1442;35;t26
warmiñsko-mazurskie;287;2.02;2;0;2;5;541;9956;1710;329;1354;27;t28
wielkopolskie;828;2.37;40;14;26;41;748;17873;5632;903;4664;65;t30
zachodniopomorskie;324;1.91;20;1;19;16;623;12649;2990;477;2451;62;t32
