wojewodztwo;liczba_nowych_zakazen;liczba_ponownych_zakazen;liczba_wszystkich_zakazen;liczba_nowych_zakazen_na_10_tys_mieszkancow;liczba_ponownych_zakazen_na_10_tys_mieszkancow;liczba_wszystkich_zakazen_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Ca³y kraj;194;33;227;0.05;0.01;0.06;0;0;0;17;4;0;2047;245;1796;6;t00;2022-07-10
dolnoœl¹skie;19;0;19;0.07;0;0.07;0;0;0;5;1;0;74;19;54;1;t02;2022-07-10
kujawsko-pomorskie;2;1;3;0.01;0.00;0.01;0;0;0;0;1;0;21;3;18;0;t04;2022-07-10
lubelskie;9;0;9;0.04;0;0.04;0;0;0;3;0;0;115;9;106;0;t06;2022-07-10
lubuskie;3;2;5;0.03;0.02;0.05;0;0;0;0;0;0;26;5;21;0;t08;2022-07-10
³ódzkie;13;2;15;0.05;0.01;0.06;0;0;0;4;1;0;83;17;66;0;t10;2022-07-10
ma³opolskie;23;2;25;0.07;0.01;0.07;0;0;0;0;0;0;177;26;149;2;t12;2022-07-10
mazowieckie;40;12;52;0.07;0.02;0.10;0;0;0;4;0;0;583;56;526;1;t14;2022-07-10
opolskie;3;1;4;0.03;0.01;0.04;0;0;0;0;0;0;30;5;25;0;t16;2022-07-10
podkarpackie;4;2;6;0.02;0.01;0.03;0;0;0;0;0;0;73;8;65;0;t18;2022-07-10
podlaskie;2;0;2;0.02;0;0.02;0;0;0;0;0;0;48;2;45;1;t20;2022-07-10
pomorskie;10;2;12;0.04;0.01;0.05;0;0;0;0;0;0;99;12;87;0;t22;2022-07-10
œl¹skie;28;1;29;0.06;0.00;0.06;0;0;0;0;0;0;180;30;150;0;t24;2022-07-10
œwiêtokrzyskie;5;0;5;0.04;0;0.04;0;0;0;0;0;0;117;5;112;0;t26;2022-07-10
warmiñsko-mazurskie;5;3;8;0.04;0.02;0.06;0;0;0;0;0;0;53;9;44;0;t28;2022-07-10
wielkopolskie;5;3;8;0.01;0.01;0.02;0;0;0;0;1;0;89;9;79;1;t30;2022-07-10
zachodniopomorskie;6;2;8;0.04;0.01;0.05;0;0;0;1;0;0;63;10;53;0;t32;2022-07-10
