wojewodztwo;liczba_nowych_zakazen;liczba_ponownych_zakazen;liczba_wszystkich_zakazen;liczba_nowych_zakazen_na_10_tys_mieszkancow;liczba_ponownych_zakazen_na_10_tys_mieszkancow;liczba_wszystkich_zakazen_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Ca³y kraj;2320;792;3112;0.60;0.21;0.81;11;4;7;2549;0;0;9213;3293;5891;29;t00;2023-03-03
dolnoœl¹skie;93;22;115;0.32;0.08;0.40;1;1;0;82;0;0;327;123;204;0;t02;2023-03-03
kujawsko-pomorskie;145;56;201;0.70;0.27;0.97;1;0;1;209;0;0;535;208;324;3;t04;2023-03-03
lubelskie;179;57;236;0.85;0.27;1.12;2;1;1;180;0;0;718;245;473;0;t06;2023-03-03
lubuskie;45;15;60;0.45;0.15;0.59;0;0;0;58;0;0;183;62;121;0;t08;2023-03-03
³ódzkie;141;57;198;0.58;0.23;0.81;1;1;0;199;0;0;617;211;404;2;t10;2023-03-03
ma³opolskie;256;62;318;0.75;0.18;0.93;0;0;0;267;0;0;791;331;457;3;t12;2023-03-03
mazowieckie;313;105;418;0.58;0.19;0.77;1;0;1;262;0;0;1209;438;770;1;t14;2023-03-03
opolskie;36;23;59;0.37;0.23;0.60;0;0;0;36;0;0;203;62;141;0;t16;2023-03-03
podkarpackie;137;43;180;0.64;0.20;0.85;0;0;0;120;0;0;430;190;240;0;t18;2023-03-03
podlaskie;100;26;126;0.85;0.22;1.07;0;0;0;131;0;0;341;134;206;1;t20;2023-03-03
pomorskie;114;41;155;0.49;0.17;0.66;0;0;0;152;0;0;529;158;371;0;t22;2023-03-03
œl¹skie;321;121;442;0.71;0.27;0.98;2;1;1;341;0;0;1247;466;769;12;t24;2023-03-03
œwiêtokrzyskie;84;13;97;0.68;0.11;0.79;0;0;0;81;0;0;245;99;146;0;t26;2023-03-03
warmiñsko-mazurskie;86;47;133;0.61;0.33;0.94;0;0;0;174;0;0;453;146;307;0;t28;2023-03-03
wielkopolskie;173;65;238;0.49;0.19;0.68;3;0;3;158;0;0;684;267;412;5;t30;2023-03-03
zachodniopomorskie;70;34;104;0.41;0.20;0.61;0;0;0;97;0;0;377;109;268;0;t32;2023-03-03
