wojewodztwo;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Ca³y kraj;813;0.21;14;2;12;5663;783;87576;39962;926;38934;102;t00;2021-09-23
dolnoœl¹skie;56;0.19;0;0;0;352;44;6325;2652;65;2578;9;t02;2021-09-23
kujawsko-pomorskie;33;0.16;0;0;0;302;19;2719;1765;41;1718;6;t04;2021-09-23
lubelskie;132;0.63;2;0;2;589;128;7244;2328;145;2168;15;t06;2021-09-23
lubuskie;10;0.10;0;0;0;133;9;2269;985;13;970;2;t08;2021-09-23
³ódzkie;47;0.19;0;0;0;336;59;7342;2972;53;2909;10;t10;2021-09-23
ma³opolskie;56;0.16;2;1;1;441;85;4595;3387;62;3319;6;t12;2021-09-23
mazowieckie;118;0.22;2;1;1;963;113;26762;5979;128;5835;16;t14;2021-09-23
opolskie;13;0.13;0;0;0;97;12;1864;918;13;904;1;t16;2021-09-23
podkarpackie;51;0.24;4;0;4;242;63;2502;2339;64;2273;2;t18;2021-09-23
podlaskie;66;0.56;1;0;1;220;41;2424;1084;74;1009;1;t20;2021-09-23
pomorskie;33;0.14;0;0;0;365;36;4494;2097;37;2054;6;t22;2021-09-23
œl¹skie;52;0.12;0;0;0;533;41;5516;4278;64;4205;9;t24;2021-09-23
œwiêtokrzyskie;6;0.05;2;0;2;93;13;1459;1095;9;1084;2;t26;2021-09-23
warmiñsko-mazurskie;23;0.16;0;0;0;212;22;1952;1095;23;1072;0;t28;2021-09-23
wielkopolskie;43;0.12;1;0;1;472;48;6304;2567;46;2516;5;t30;2021-09-23
zachodniopomorskie;66;0.39;0;0;0;307;44;3779;1792;81;1702;9;t32;2021-09-23
