wojewodztwo;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Cały kraj;11261;2.94;483;108;375;17661;197565;49598;12241;36177;1180;t00;2020-12-18
dolnośląskie;598;2.06;24;6;18;1046;13216;2947;660;2228;59;t02;2020-12-18
kujawsko-pomorskie;1124;5.43;32;6;26;1601;16509;4005;1188;2704;113;t04;2020-12-18
lubelskie;655;3.11;29;5;24;889;9922;2365;705;1613;47;t06;2020-12-18
lubuskie;406;4.02;19;11;8;522;6502;1454;451;964;39;t08;2020-12-18
łódzkie;767;3.13;32;0;32;1138;12082;3528;846;2607;75;t10;2020-12-18
małopolskie;397;1.16;22;13;9;702;7591;2718;428;2214;76;t12;2020-12-18
mazowieckie;1389;2.56;47;10;37;2683;29886;7845;1559;6099;187;t14;2020-12-18
opolskie;223;2.27;14;1;13;299;4526;1127;255;852;20;t16;2020-12-18
podkarpackie;366;1.72;13;3;10;491;5388;1767;412;1330;25;t18;2020-12-18
podlaskie;341;2.9;9;4;5;489;5313;1205;369;819;17;t20;2020-12-18
pomorskie;1053;4.49;30;3;27;1456;17041;4112;1108;2814;190;t22;2020-12-18
śląskie;807;1.79;55;10;45;1607;15830;4135;873;3198;64;t24;2020-12-18
świętokrzyskie;162;1.32;16;0;16;257;3038;998;190;784;24;t26;2020-12-18
warmińsko-mazurskie;712;5.01;36;5;31;1135;13210;2115;744;1334;37;t28;2020-12-18
wielkopolskie;1203;3.44;79;31;48;1878;22320;4772;1312;3357;103;t30;2020-12-18
zachodniopomorskie;970;5.73;26;0;26;1466;15188;2916;1033;1796;87;t32;2020-12-18
