wojewodztwo;liczba_nowych_zakazen;liczba_ponownych_zakazen;liczba_wszystkich_zakazen;liczba_nowych_zakazen_na_10_tys_mieszkancow;liczba_ponownych_zakazen_na_10_tys_mieszkancow;liczba_wszystkich_zakazen_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Ca³y kraj;124;42;166;0.03;0.01;0.04;5;2;3;505;0;0;1483;173;1308;2;t00;2024-11-28
dolnoœl¹skie;10;4;14;0.03;0.01;0.05;0;0;0;17;0;0;57;14;43;0;t02;2024-11-28
kujawsko-pomorskie;9;3;12;0.04;0.01;0.06;0;0;0;19;0;0;118;12;104;2;t04;2024-11-28
lubelskie;4;4;8;0.02;0.02;0.04;0;0;0;40;0;0;64;9;55;0;t06;2024-11-28
lubuskie;6;1;7;0.06;0.01;0.07;0;0;0;6;0;0;25;7;18;0;t08;2024-11-28
³ódzkie;7;0;7;0.03;0;0.03;0;0;0;24;0;0;40;8;32;0;t10;2024-11-28
ma³opolskie;9;5;14;0.03;0.01;0.04;1;0;1;53;0;0;113;15;98;0;t12;2024-11-28
mazowieckie;17;6;23;0.03;0.01;0.04;0;0;0;43;0;0;397;24;373;0;t14;2024-11-28
opolskie;1;0;1;0.01;0;0.01;0;0;0;2;0;0;41;1;40;0;t16;2024-11-28
podkarpackie;12;1;13;0.06;0.00;0.06;0;0;0;77;0;0;136;13;123;0;t18;2024-11-28
podlaskie;8;2;10;0.07;0.02;0.08;0;0;0;56;0;0;76;10;66;0;t20;2024-11-28
pomorskie;9;1;10;0.04;0.00;0.04;1;0;1;26;0;0;60;10;50;0;t22;2024-11-28
œl¹skie;6;5;11;0.01;0.01;0.02;2;2;0;66;0;0;132;11;121;0;t24;2024-11-28
œwiêtokrzyskie;3;2;5;0.02;0.02;0.04;0;0;0;9;0;0;22;5;17;0;t26;2024-11-28
warmiñsko-mazurskie;3;1;4;0.02;0.01;0.03;0;0;0;17;0;0;36;5;31;0;t28;2024-11-28
wielkopolskie;14;5;19;0.04;0.01;0.05;0;0;0;29;0;0;66;21;45;0;t30;2024-11-28
zachodniopomorskie;5;1;6;0.03;0.01;0.04;1;0;1;19;0;0;54;6;48;0;t32;2024-11-28
