wojewodztwo;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Ca³y kraj;241;0.06;62;12;50;2931;227;60040;54611;337;54123;151;t00;2021-06-15
dolnoœl¹skie;17;0.06;5;3;2;222;12;4158;3780;32;3740;8;t02;2021-06-15
kujawsko-pomorskie;21;0.10;3;1;2;169;12;1574;2592;27;2553;12;t04;2021-06-15
lubelskie;16;0.08;2;0;2;165;10;4083;2664;16;2643;5;t06;2021-06-15
lubuskie;1;0.01;0;0;0;47;9;1308;1344;2;1339;3;t08;2021-06-15
³ódzkie;23;0.09;3;1;2;361;12;4706;3808;30;3764;14;t10;2021-06-15
ma³opolskie;19;0.06;2;0;2;224;28;3186;4423;21;4396;6;t12;2021-06-15
mazowieckie;25;0.05;10;1;9;454;31;21771;7905;36;7843;26;t14;2021-06-15
opolskie;12;0.12;4;1;3;53;7;1240;1269;20;1243;6;t16;2021-06-15
podkarpackie;7;0.03;0;0;0;73;7;1425;2423;12;2407;4;t18;2021-06-15
podlaskie;7;0.06;1;0;1;58;9;759;1227;8;1217;2;t20;2021-06-15
pomorskie;8;0.03;3;0;3;202;9;3002;3548;14;3530;4;t22;2021-06-15
œl¹skie;23;0.05;13;1;12;343;29;3849;6498;38;6435;25;t24;2021-06-15
œwiêtokrzyskie;6;0.05;6;1;5;61;8;1660;1479;7;1465;7;t26;2021-06-15
warmiñsko-mazurskie;2;0.01;1;0;1;80;8;984;1501;7;1491;3;t28;2021-06-15
wielkopolskie;28;0.08;8;3;5;260;23;4380;4194;35;4147;12;t30;2021-06-15
zachodniopomorskie;20;0.12;1;0;1;152;13;1925;2313;26;2278;9;t32;2021-06-15
