wojewodztwo;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Ca³y kraj;8777;2.29;241;43;198;14507;6804;163974;49449;9462;39215;772;t00;2021-02-18
dolnoœl¹skie;554;1.91;15;5;10;884;287;8279;3472;620;2808;44;t02;2021-02-18
kujawsko-pomorskie;601;2.90;19;2;17;1047;540;10708;3025;657;2323;45;t04;2021-02-18
lubelskie;328;1.56;21;1;20;647;312;6816;2424;363;2026;35;t06;2021-02-18
lubuskie;299;2.96;11;6;5;482;212;5277;1524;326;1183;15;t08;2021-02-18
³ódzkie;495;2.02;22;6;16;754;384;8809;3221;535;2612;74;t10;2021-02-18
ma³opolskie;548;1.61;11;2;9;816;345;7959;3557;577;2940;40;t12;2021-02-18
mazowieckie;1427;2.63;24;2;22;2625;1157;32492;7288;1535;5580;173;t14;2021-02-18
opolskie;122;1.24;0;0;0;213;75;2694;1060;130;921;9;t16;2021-02-18
podkarpackie;464;2.18;15;3;12;662;357;7747;2152;501;1644;7;t18;2021-02-18
podlaskie;271;2.30;12;0;12;464;286;5256;1155;287;853;15;t20;2021-02-18
pomorskie;787;3.35;13;0;13;1221;517;16346;3157;832;2221;104;t22;2021-02-18
œl¹skie;829;1.84;23;2;21;1386;617;12453;4821;905;3857;59;t24;2021-02-18
œwiêtokrzyskie;142;1.15;4;1;3;267;133;2564;1529;188;1310;31;t26;2021-02-18
warmiñsko-mazurskie;732;5.15;5;0;5;1076;568;13635;2147;760;1349;38;t28;2021-02-18
wielkopolskie;676;1.93;37;13;24;1295;620;14501;4070;709;3324;37;t30;2021-02-18
zachodniopomorskie;346;2.04;9;0;9;655;346;8424;1857;367;1468;22;t32;2021-02-18
