wojewodztwo;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Ca³y kraj;6796;1.77;429;129;300;11120;13565;197693;61274;7585;52911;778;t00;2021-04-29
dolnoœl¹skie;614;2.12;32;14;18;998;1256;18311;4502;683;3766;53;t02;2021-04-29
kujawsko-pomorskie;302;1.46;25;3;22;591;583;8596;2697;325;2306;66;t04;2021-04-29
lubelskie;342;1.63;21;5;16;640;595;9160;3242;376;2837;29;t06;2021-04-29
lubuskie;125;1.24;10;5;5;277;266;4673;2074;153;1900;21;t08;2021-04-29
³ódzkie;523;2.14;32;4;28;840;961;13465;4111;576;3502;33;t10;2021-04-29
ma³opolskie;551;1.61;29;9;20;789;1259;16013;4201;593;3513;95;t12;2021-04-29
mazowieckie;803;1.48;49;15;34;1305;1639;28616;8809;922;7790;97;t14;2021-04-29
opolskie;271;2.76;11;1;10;294;374;5275;1811;288;1510;13;t16;2021-04-29
podkarpackie;217;1.02;30;5;25;389;441;6512;2985;253;2717;15;t18;2021-04-29
podlaskie;110;0.93;9;0;9;204;256;3368;1178;118;1051;9;t20;2021-04-29
pomorskie;420;1.79;19;0;19;561;628;9599;3617;445;3116;56;t22;2021-04-29
œl¹skie;1041;2.31;72;20;52;1591;2452;25821;6829;1169;5543;117;t24;2021-04-29
œwiêtokrzyskie;177;1.44;12;5;7;302;440;5283;1641;222;1380;39;t26;2021-04-29
warmiñsko-mazurskie;142;1.00;12;7;5;344;347;4740;1865;160;1693;12;t28;2021-04-29
wielkopolskie;724;2.07;57;35;22;1290;1378;21202;4978;804;4112;62;t30;2021-04-29
zachodniopomorskie;367;2.17;9;1;8;697;641;8356;2663;422;2199;42;t32;2021-04-29
