wojewodztwo;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Ca³y kraj;22389;5.84;45;19;26;1529;26618;684521;78533;23913;53205;1415;t00;2021-12-04
dolnoœl¹skie;2248;7.76;1;0;1;46;2115;51705;6487;2455;3880;152;t02;2021-12-04
kujawsko-pomorskie;1128;5.45;5;5;0;117;1453;35931;3566;1185;2306;75;t04;2021-12-04
lubelskie;505;2.40;0;0;0;84;1209;25954;2602;550;2020;32;t06;2021-12-04
lubuskie;641;6.35;2;0;2;15;687;22772;2108;700;1330;78;t08;2021-12-04
³ódzkie;1240;5.06;0;0;0;81;1339;37854;4971;1333;3584;54;t10;2021-12-04
ma³opolskie;1910;5.59;0;0;0;169;2025;56318;6531;2022;4404;105;t12;2021-12-04
mazowieckie;3469;6.39;29;11;18;174;4477;107700;12960;3756;8920;284;t14;2021-12-04
opolskie;873;8.90;0;0;0;21;938;22889;2280;937;1288;55;t16;2021-12-04
podkarpackie;742;3.49;2;0;2;58;1128;26510;2848;795;2039;14;t18;2021-12-04
podlaskie;308;2.62;0;0;0;28;664;15671;1365;333;1020;12;t20;2021-12-04
pomorskie;1462;6.23;0;0;0;45;1557;46211;5324;1551;3704;69;t22;2021-12-04
œl¹skie;3450;7.65;3;3;0;197;3428;82850;10498;3621;6696;181;t24;2021-12-04
œwiêtokrzyskie;424;3.45;0;0;0;12;571;15266;1735;466;1239;30;t26;2021-12-04
warmiñsko-mazurskie;712;5.01;1;0;1;33;894;26850;2216;756;1421;39;t28;2021-12-04
wielkopolskie;2280;6.51;0;0;0;211;2445;75713;7410;2376;4890;144;t30;2021-12-04
zachodniopomorskie;838;4.95;2;0;2;238;1553;34229;3270;909;2288;73;t32;2021-12-04
