wojewodztwo;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Ca³y kraj;190;0.05;48;12;36;2502;439;63472;47975;310;47548;117;t00;2021-06-17
dolnoœl¹skie;17;0.06;1;1;0;178;41;4248;3389;26;3356;7;t02;2021-06-17
kujawsko-pomorskie;14;0.07;1;0;1;145;21;1519;1999;18;1970;11;t04;2021-06-17
lubelskie;25;0.12;7;2;5;122;31;5485;2327;27;2287;13;t06;2021-06-17
lubuskie;1;0.01;0;0;0;34;5;1274;1256;2;1250;4;t08;2021-06-17
³ódzkie;11;0.04;2;0;2;279;38;4921;3272;15;3244;13;t10;2021-06-17
ma³opolskie;22;0.06;1;1;0;171;44;3151;3352;29;3314;9;t12;2021-06-17
mazowieckie;27;0.05;3;0;3;408;55;23539;7979;38;7924;17;t14;2021-06-17
opolskie;12;0.12;1;1;0;52;9;1237;1142;16;1121;5;t16;2021-06-17
podkarpackie;7;0.03;1;1;0;105;9;1450;2192;50;2140;2;t18;2021-06-17
podlaskie;1;0.01;0;0;0;56;7;783;1007;2;1004;1;t20;2021-06-17
pomorskie;3;0.01;14;0;14;180;7;2945;2904;6;2890;8;t22;2021-06-17
œl¹skie;16;0.04;5;3;2;253;54;3754;5328;37;5282;9;t24;2021-06-17
œwiêtokrzyskie;4;0.03;2;0;2;56;12;1997;1185;6;1175;4;t26;2021-06-17
warmiñsko-mazurskie;4;0.03;2;0;2;95;19;977;1282;6;1274;2;t28;2021-06-17
wielkopolskie;15;0.04;7;3;4;180;54;4243;3384;21;3357;6;t30;2021-06-17
zachodniopomorskie;6;0.04;1;0;1;187;32;1927;1889;6;1878;5;t32;2021-06-17
