wojewodztwo;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Ca³y kraj;39114;10.20;239;66;173;71455;40035;683853;144318;46214;95266;2838;t00;2022-01-31
dolnoœl¹skie;3239;11.17;21;8;13;5150;3835;54349;10193;3777;6188;228;t02;2022-01-31
kujawsko-pomorskie;1798;8.69;24;10;14;4286;1373;19310;7196;2165;4954;77;t04;2022-01-31
lubelskie;2000;9.51;9;0;9;4929;1716;43840;7819;2359;5400;60;t06;2022-01-31
lubuskie;836;8.28;0;0;0;1944;713;10280;3368;1002;2284;82;t08;2022-01-31
³ódzkie;2710;11.07;20;2;18;4693;2192;56125;9725;3205;6373;147;t10;2022-01-31
ma³opolskie;2919;8.55;28;10;18;4673;3839;39685;10017;3458;6350;209;t12;2022-01-31
mazowieckie;6236;11.49;13;4;9;8521;6259;116890;24376;7214;16420;742;t14;2022-01-31
opolskie;931;9.49;9;3;6;1933;1283;19977;3406;1104;2263;39;t16;2022-01-31
podkarpackie;1429;6.72;6;0;6;3170;2157;40636;6167;1691;4424;52;t18;2022-01-31
podlaskie;1079;9.17;6;0;6;2106;559;13383;3890;1279;2570;41;t20;2022-01-31
pomorskie;2875;12.25;20;5;15;4979;3357;60597;10206;3383;6550;273;t22;2022-01-31
œl¹skie;5698;12.64;39;12;27;9636;6759;107278;18427;6687;11290;450;t24;2022-01-31
œwiêtokrzyskie;962;7.82;4;0;4;1722;596;9963;3736;1137;2541;58;t26;2022-01-31
warmiñsko-mazurskie;1840;12.95;9;6;3;3047;1030;16331;6666;2249;4364;53;t28;2022-01-31
wielkopolskie;3098;8.85;23;4;19;7304;2959;41636;10916;3667;7083;166;t30;2022-01-31
zachodniopomorskie;1229;7.26;8;2;6;3267;1318;33365;6068;1583;4367;118;t32;2022-01-31
