wojewodztwo;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt
Ca³y kraj;13397;3.49;532;104;428;17905;7841;168692;53703;14557;37831;1315;t00
dolnoœl¹skie;804;2.77;23;5;18;985;399;10904;3970;891;3000;79;t02
kujawsko-pomorskie;1517;7.33;47;9;38;1622;874;15140;4579;1595;2826;158;t04
lubelskie;564;2.68;30;4;26;885;568;7658;2257;607;1594;56;t06
lubuskie;493;4.88;15;12;3;472;164;5217;1534;539;970;25;t08
³ódzkie;703;2.87;23;2;21;1169;584;11142;3162;761;2289;112;t10
ma³opolskie;387;1.13;18;6;12;762;226;6158;2761;430;2259;72;t12
mazowieckie;1739;3.20;68;20;48;2733;1123;25618;8190;1903;6043;244;t14
opolskie;347;3.54;20;1;19;327;160;3581;1317;367;917;33;t16
podkarpackie;284;1.34;17;1;16;392;181;4265;1838;355;1470;13;t18
podlaskie;356;3.03;28;2;26;512;168;4198;1169;380;758;31;t20
pomorskie;1288;5.49;42;11;31;1544;638;14917;3955;1404;2437;114;t22
œl¹skie;1046;2.32;46;5;41;1576;677;13779;4565;1120;3367;78;t24
œwiêtokrzyskie;193;1.57;10;0;10;287;133;2538;1350;238;1061;51;t26
warmiñsko-mazurskie;1061;7.47;54;9;45;1155;608;11229;2714;1110;1549;55;t28
wielkopolskie;1469;4.20;58;15;43;2035;700;18369;5048;1587;3355;106;t30
zachodniopomorskie;900;5.32;33;2;31;1436;502;13950;2594;964;1586;44;t32
