wojewodztwo;liczba_nowych_zakazen;liczba_ponownych_zakazen;liczba_wszystkich_zakazen;liczba_nowych_zakazen_na_10_tys_mieszkancow;liczba_ponownych_zakazen_na_10_tys_mieszkancow;liczba_wszystkich_zakazen_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Ca³y kraj;514;109;623;0.13;0.03;0.16;21;5;16;1272;0;0;6942;698;6214;30;t00;2022-12-30
dolnoœl¹skie;63;12;75;0.22;0.04;0.26;1;0;1;69;0;0;429;82;346;1;t02;2022-12-30
kujawsko-pomorskie;31;7;38;0.15;0.03;0.18;2;0;2;61;0;0;356;42;314;0;t04;2022-12-30
lubelskie;18;4;22;0.09;0.02;0.10;0;0;0;78;0;0;505;22;483;0;t06;2022-12-30
lubuskie;12;3;15;0.12;0.03;0.15;1;1;0;29;0;0;130;17;112;1;t08;2022-12-30
³ódzkie;17;4;21;0.07;0.02;0.09;0;0;0;84;0;0;352;27;324;1;t10;2022-12-30
ma³opolskie;30;3;33;0.09;0.01;0.10;2;2;0;77;0;0;393;35;358;0;t12;2022-12-30
mazowieckie;78;17;95;0.14;0.03;0.18;2;0;2;172;0;0;1098;103;993;2;t14;2022-12-30
opolskie;24;2;26;0.24;0.02;0.27;2;0;2;40;0;0;203;31;169;3;t16;2022-12-30
podkarpackie;17;4;21;0.08;0.02;0.10;2;0;2;26;0;0;280;24;256;0;t18;2022-12-30
podlaskie;15;5;20;0.13;0.04;0.17;0;0;0;35;0;0;259;23;235;1;t20;2022-12-30
pomorskie;23;10;33;0.10;0.04;0.14;1;0;1;94;0;0;474;37;437;0;t22;2022-12-30
œl¹skie;66;12;78;0.15;0.03;0.17;2;0;2;187;0;0;783;87;682;14;t24;2022-12-30
œwiêtokrzyskie;20;2;22;0.16;0.02;0.18;0;0;0;60;0;0;219;24;195;0;t26;2022-12-30
warmiñsko-mazurskie;16;3;19;0.11;0.02;0.13;1;1;0;29;0;0;211;21;189;1;t28;2022-12-30
wielkopolskie;42;6;48;0.12;0.02;0.14;4;1;3;116;0;0;511;57;450;4;t30;2022-12-30
zachodniopomorskie;24;13;37;0.14;0.08;0.22;1;0;1;114;0;0;311;39;272;0;t32;2022-12-30
