wojewodztwo;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Ca³y kraj;10858;2.83;539;149;390;14948;21340;250248;62513;11999;49536;978;t00;2021-04-22
dolnoœl¹skie;1179;4.07;37;29;8;1341;1867;22950;5189;1297;3817;75;t02;2021-04-22
kujawsko-pomorskie;469;2.27;22;1;21;791;993;12111;2730;499;2165;66;t04;2021-04-22
lubelskie;475;2.26;24;2;22;737;951;11707;2817;513;2246;58;t06;2021-04-22
lubuskie;251;2.48;23;8;15;356;445;6118;1663;270;1380;13;t08;2021-04-22
³ódzkie;746;3.05;41;8;33;1117;1579;17267;4078;833;3212;33;t10;2021-04-22
ma³opolskie;908;2.66;42;24;18;1188;1875;21991;4542;967;3478;97;t12;2021-04-22
mazowieckie;1345;2.48;80;16;64;1860;3030;34979;9175;1681;7298;196;t14;2021-04-22
opolskie;293;2.99;10;2;8;369;508;6378;1431;309;1109;13;t16;2021-04-22
podkarpackie;333;1.57;30;2;28;473;852;10481;2451;368;2063;20;t18;2021-04-22
podlaskie;167;1.42;6;0;6;311;518;4800;1218;178;1032;8;t20;2021-04-22
pomorskie;537;2.29;25;3;22;766;1060;12640;3757;581;3114;62;t22;2021-04-22
œl¹skie;1736;3.85;106;37;69;2368;3285;36110;7658;1845;5660;153;t24;2021-04-22
œwiêtokrzyskie;320;2.60;12;1;11;383;596;7777;1561;352;1171;38;t26;2021-04-22
warmiñsko-mazurskie;271;1.91;13;1;12;479;539;6273;1847;285;1549;13;t28;2021-04-22
wielkopolskie;1216;3.47;42;14;28;1565;2389;28359;5950;1357;4522;71;t30;2021-04-22
zachodniopomorskie;521;3.08;26;1;25;832;777;10007;2603;561;2002;40;t32;2021-04-22
