wojewodztwo;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Cały kraj;8978;2.34;188;49;139;407;210836;37081;10132;25981;968;t00;2020-12-12
dolnośląskie;507;1.75;1;1;0;27;15375;2322;569;1699;54;t02;2020-12-12
kujawsko-pomorskie;768;3.71;18;4;14;101;16568;2538;818;1642;78;t04;2020-12-12
lubelskie;378;1.8;14;1;13;17;10609;1335;405;899;31;t06;2020-12-12
lubuskie;302;2.99;0;0;0;7;6866;996;371;600;25;t08;2020-12-12
łódzkie;576;2.35;1;0;1;15;13232;2422;625;1725;72;t10;2020-12-12
małopolskie;316;0.93;19;2;17;11;8749;2032;351;1621;60;t12;2020-12-12
mazowieckie;1286;2.37;24;14;10;60;32045;6124;1473;4451;200;t14;2020-12-12
opolskie;131;1.34;0;0;0;2;5510;642;146;488;8;t16;2020-12-12
podkarpackie;205;0.96;5;3;2;8;6007;1476;384;1063;29;t18;2020-12-12
podlaskie;233;1.98;8;2;6;5;5816;837;265;563;9;t20;2020-12-12
pomorskie;1013;4.32;3;0;3;22;17236;3634;1069;2457;108;t22;2020-12-12
śląskie;669;1.48;17;3;14;30;17810;2769;719;1984;66;t24;2020-12-12
świętokrzyskie;134;1.09;1;0;1;5;3471;1070;224;807;39;t26;2020-12-12
warmińsko-mazurskie;650;4.58;30;6;24;11;13627;1956;667;1226;63;t28;2020-12-12
wielkopolskie;1138;3.25;31;12;19;54;23817;3745;1253;2416;76;t30;2020-12-12
zachodniopomorskie;600;3.54;16;1;15;32;14095;2066;706;1320;40;t32;2020-12-12
