wojewodztwo;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Cały kraj;13747;3.58;470;113;357;17279;232242;55051;14880;38673;1498;t00;2020-12-09
dolnośląskie;986;3.4;24;7;17;1166;17264;4240;1084;3045;111;t02;2020-12-09
kujawsko-pomorskie;1406;6.79;35;3;32;1503;18074;4718;1466;3093;159;t04;2020-12-09
lubelskie;619;2.94;33;12;21;843;12203;2635;668;1914;53;t06;2020-12-09
lubuskie;468;4.63;17;12;5;481;7527;1489;527;924;38;t08;2020-12-09
łódzkie;867;3.54;67;13;54;1152;14752;3922;959;2839;124;t10;2020-12-09
małopolskie;491;1.44;27;11;16;739;10118;2958;537;2314;107;t12;2020-12-09
mazowieckie;1703;3.14;48;18;30;2583;34486;8053;1886;5867;300;t14;2020-12-09
opolskie;496;5.06;14;1;13;340;6331;1403;519;856;28;t16;2020-12-09
podkarpackie;403;1.9;33;8;25;408;6743;2050;453;1586;11;t18;2020-12-09
podlaskie;367;3.12;5;2;3;430;6513;1342;403;919;20;t20;2020-12-09
pomorskie;891;3.8;19;5;14;1330;17800;3638;976;2515;147;t22;2020-12-09
śląskie;1253;2.78;47;1;46;1725;21438;5339;1352;3877;110;t24;2020-12-09
świętokrzyskie;218;1.77;14;0;14;260;4089;1315;262;1003;50;t26;2020-12-09
warmińsko-mazurskie;898;6.32;30;2;28;1057;14739;2614;935;1599;80;t28;2020-12-09
wielkopolskie;1674;4.78;49;18;31;1900;25580;5445;1767;3591;87;t30;2020-12-09
zachodniopomorskie;961;5.68;8;0;8;1359;14585;2957;1025;1867;65;t32;2020-12-09
