wojewodztwo;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Ca³y kraj;19936;5.20;398;111;287;59240;15079;490136;91012;21788;68309;915;t00;2021-11-22
dolnoœl¹skie;1314;4.53;14;9;5;4057;928;32993;6229;1454;4710;65;t02;2021-11-22
kujawsko-pomorskie;1165;5.63;26;4;22;3581;529;26622;5311;1235;4020;56;t04;2021-11-22
lubelskie;1577;7.50;65;17;48;3805;1314;28219;5995;1727;4229;39;t06;2021-11-22
lubuskie;380;3.76;4;2;2;1646;262;11442;2252;420;1809;23;t08;2021-11-22
³ódzkie;1151;4.70;27;9;18;3625;856;28790;5949;1294;4596;59;t10;2021-11-22
ma³opolskie;1586;4.65;47;23;24;4695;1232;33880;6556;1737;4772;47;t12;2021-11-22
mazowieckie;3756;6.92;53;14;39;8508;3507;99630;15495;4132;11175;188;t14;2021-11-22
opolskie;451;4.60;7;2;5;1661;326;13511;2109;482;1614;13;t16;2021-11-22
podkarpackie;876;4.12;20;1;19;2404;728;19880;4799;967;3814;18;t18;2021-11-22
podlaskie;622;5.29;35;2;33;1913;668;14775;2462;685;1750;27;t20;2021-11-22
pomorskie;1260;5.37;12;1;11;3264;681;32792;5312;1323;3904;85;t22;2021-11-22
œl¹skie;1619;3.59;25;7;18;7280;1430;49079;8443;1782;6572;89;t24;2021-11-22
œwiêtokrzyskie;471;3.83;9;1;8;1321;295;8787;2300;523;1755;22;t26;2021-11-22
warmiñsko-mazurskie;817;5.75;16;9;7;2470;492;18543;4077;895;3159;23;t28;2021-11-22
wielkopolskie;1694;4.84;19;10;9;5670;1114;47724;6875;1791;4997;87;t30;2021-11-22
zachodniopomorskie;1007;5.95;19;0;19;3256;634;23359;4281;1130;3082;69;t32;2021-11-22
