wojewodztwo;liczba_nowych_zakazen;liczba_ponownych_zakazen;liczba_wszystkich_zakazen;liczba_nowych_zakazen_na_10_tys_mieszkancow;liczba_ponownych_zakazen_na_10_tys_mieszkancow;liczba_wszystkich_zakazen_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Ca³y kraj;98;20;118;0.03;0.01;0.03;0;0;0;2;0;0;2701;130;2562;9;t00;2023-01-01
dolnoœl¹skie;13;2;15;0.04;0.01;0.05;0;0;0;0;0;0;151;15;136;0;t02;2023-01-01
kujawsko-pomorskie;0;2;2;0;0.01;0.01;0;0;0;0;0;0;73;4;69;0;t04;2023-01-01
lubelskie;3;2;5;0.01;0.01;0.02;0;0;0;2;0;0;199;5;194;0;t06;2023-01-01
lubuskie;2;0;2;0.02;0;0.02;0;0;0;0;0;0;44;2;42;0;t08;2023-01-01
³ódzkie;6;1;7;0.02;0.00;0.03;0;0;0;0;0;0;131;7;124;0;t10;2023-01-01
ma³opolskie;8;1;9;0.02;0.00;0.03;0;0;0;0;0;0;165;9;156;0;t12;2023-01-01
mazowieckie;15;2;17;0.03;0.00;0.03;0;0;0;0;0;0;520;17;503;0;t14;2023-01-01
opolskie;2;0;2;0.02;0;0.02;0;0;0;0;0;0;76;2;73;1;t16;2023-01-01
podkarpackie;4;1;5;0.02;0.00;0.02;0;0;0;0;0;0;238;8;229;1;t18;2023-01-01
podlaskie;4;0;4;0.03;0;0.03;0;0;0;0;0;0;62;4;58;0;t20;2023-01-01
pomorskie;4;3;7;0.02;0.01;0.03;0;0;0;0;0;0;182;9;171;2;t22;2023-01-01
œl¹skie;6;1;7;0.01;0.00;0.02;0;0;0;0;0;0;215;9;204;2;t24;2023-01-01
œwiêtokrzyskie;6;0;6;0.05;0;0.05;0;0;0;0;0;0;125;7;117;1;t26;2023-01-01
warmiñsko-mazurskie;5;1;6;0.04;0.01;0.04;0;0;0;0;0;0;106;6;100;0;t28;2023-01-01
wielkopolskie;11;2;13;0.03;0.01;0.04;0;0;0;0;0;0;151;14;135;2;t30;2023-01-01
zachodniopomorskie;4;1;5;0.02;0.01;0.03;0;0;0;0;0;0;87;5;82;0;t32;2023-01-01
