wojewodztwo;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt
Ca³y kraj;4622;1.21;75;10;65;272;6945;150116;26151;5374;20125;652;t00
dolnoœl¹skie;227;0.78;0;0;0;16;436;9372;1341;247;1070;24;t02
kujawsko-pomorskie;388;1.88;6;2;4;46;478;12276;1701;494;1172;35;t04
lubelskie;138;0.66;5;2;3;16;319;6272;971;176;773;22;t06
lubuskie;190;1.88;5;2;3;11;124;4409;824;227;580;17;t08
³ódzkie;218;0.89;2;0;2;19;558;9103;1587;266;1275;46;t10
ma³opolskie;233;0.68;1;0;1;5;283;7338;1695;268;1387;40;t12
mazowieckie;627;1.16;9;0;9;47;974;26583;3407;696;2609;102;t14
opolskie;127;1.29;1;0;1;1;175;3008;662;139;509;14;t16
podkarpackie;159;0.75;3;0;3;6;184;4049;1305;205;1081;19;t18
podlaskie;75;0.64;0;0;0;1;174;4071;442;88;349;5;t20
pomorskie;509;2.17;22;2;20;15;792;13494;2401;561;1772;68;t22
œl¹skie;233;0.52;3;0;3;14;481;11748;1877;262;1571;44;t24
œwiêtokrzyskie;97;0.79;0;0;0;1;108;2218;746;108;620;18;t26
warmiñsko-mazurskie;210;1.48;3;0;3;5;320;9237;872;230;625;17;t28
wielkopolskie;446;1.27;10;2;8;50;942;15654;2148;548;1526;74;t30
zachodniopomorskie;570;3.37;5;0;5;19;530;11267;1954;660;1208;86;t32
