wojewodztwo;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Cały kraj;12164;3.17;568;133;435;18088;225269;51537;13353;36964;1220;t00;2020-12-08
dolnośląskie;819;2.83;50;15;35;1346;17128;3881;899;2892;90;t02;2020-12-08
kujawsko-pomorskie;1113;5.38;28;4;24;1560;17179;4122;1168;2800;154;t04;2020-12-08
lubelskie;728;3.46;37;10;27;902;11874;2761;788;1920;53;t06;2020-12-08
lubuskie;348;3.44;16;6;10;518;7305;1237;370;843;24;t08;2020-12-08
łódzkie;822;3.36;64;5;59;1174;14378;3835;912;2826;97;t10;2020-12-08
małopolskie;566;1.66;40;16;24;796;10096;3382;607;2676;99;t12;2020-12-08
mazowieckie;1500;2.76;41;5;36;2723;33398;7233;1743;5298;192;t14;2020-12-08
opolskie;226;2.3;19;0;19;418;6140;1055;253;785;17;t16;2020-12-08
podkarpackie;254;1.19;33;7;26;421;6582;1789;317;1457;15;t18;2020-12-08
podlaskie;360;3.06;12;10;2;483;5990;1220;386;818;16;t20;2020-12-08
pomorskie;936;3.99;33;6;27;1398;17190;3473;1003;2326;144;t22;2020-12-08
śląskie;1471;3.26;64;3;61;1769;20844;5764;1602;4041;121;t24;2020-12-08
świętokrzyskie;181;1.47;18;4;14;277;4080;1302;203;1053;46;t26;2020-12-08
warmińsko-mazurskie;657;4.63;21;5;16;1082;14052;2201;694;1481;26;t28;2020-12-08
wielkopolskie;1204;3.44;57;33;24;1847;24999;4466;1320;3090;56;t30;2020-12-08
zachodniopomorskie;934;5.52;35;4;31;1374;14034;3032;1036;1930;66;t32;2020-12-08
