wojewodztwo;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Ca³y kraj;26735;6.97;421;129;292;40543;24394;738716;105682;28413;75786;1483;t00;2021-11-25
dolnoœl¹skie;2273;7.84;16;8;8;2766;1731;50900;8063;2428;5533;102;t02;2021-11-25
kujawsko-pomorskie;1455;7.03;16;3;13;2496;1000;40942;5528;1529;3914;85;t04;2021-11-25
lubelskie;1208;5.74;58;18;40;2326;1868;36974;5558;1291;4217;50;t06;2021-11-25
lubuskie;762;7.54;6;4;2;1176;377;19308;2796;814;1933;49;t08;2021-11-25
³ódzkie;1340;5.47;33;6;27;2465;1550;42493;6478;1449;4970;59;t10;2021-11-25
ma³opolskie;2049;6.00;29;18;11;3158;1714;55136;7652;2168;5351;133;t12;2021-11-25
mazowieckie;4363;8.04;51;21;30;5704;4979;139871;17300;4634;12390;276;t14;2021-11-25
opolskie;930;9.48;6;2;4;1121;541;21254;2899;1016;1834;49;t16;2021-11-25
podkarpackie;1177;5.54;56;7;49;1662;1073;28935;4977;1262;3702;13;t18;2021-11-25
podlaskie;656;5.58;33;3;30;1115;939;19733;2692;719;1950;23;t20;2021-11-25
pomorskie;1590;6.78;14;0;14;2431;1173;49977;6373;1676;4588;109;t22;2021-11-25
œl¹skie;3262;7.24;30;14;16;5284;2742;77786;11997;3448;8372;177;t24;2021-11-25
œwiêtokrzyskie;575;4.67;14;4;10;906;483;13804;2575;625;1911;39;t26;2021-11-25
warmiñsko-mazurskie;916;6.45;7;3;4;1632;805;28988;3933;975;2915;43;t28;2021-11-25
wielkopolskie;2471;7.06;35;18;17;3858;2173;77654;8736;2556;6019;161;t30;2021-11-25
zachodniopomorskie;1504;8.88;17;0;17;2387;1145;34839;5496;1605;3791;100;t32;2021-11-25
