wojewodztwo;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Ca³y kraj;108;0.03;4;2;2;1505;127;84546;37197;152;36981;64;t00;2021-07-22
dolnoœl¹skie;3;0.01;0;0;0;122;14;7682;2345;5;2337;3;t02;2021-07-22
kujawsko-pomorskie;4;0.02;0;0;0;50;4;2558;1425;6;1414;5;t04;2021-07-22
lubelskie;3;0.01;2;0;2;88;9;4783;1827;3;1818;6;t06;2021-07-22
lubuskie;0;0;0;0;0;45;1;2065;808;0;807;1;t08;2021-07-22
³ódzkie;3;0.01;0;0;0;168;9;6798;2558;7;2545;6;t10;2021-07-22
ma³opolskie;14;0.04;0;0;0;101;10;5295;2872;23;2841;8;t12;2021-07-22
mazowieckie;16;0.03;0;0;0;284;15;23985;5434;25;5404;5;t14;2021-07-22
opolskie;0;0;0;0;0;26;3;2030;838;2;834;2;t16;2021-07-22
podkarpackie;2;0.01;0;0;0;55;6;2915;1830;5;1820;5;t18;2021-07-22
podlaskie;2;0.02;0;0;0;30;3;2238;836;3;832;1;t20;2021-07-22
pomorskie;16;0.07;0;0;0;116;7;4522;2113;19;2090;4;t22;2021-07-22
œl¹skie;20;0.04;2;2;0;177;12;6296;4296;23;4265;8;t24;2021-07-22
œwiêtokrzyskie;1;0.01;0;0;0;34;5;1657;1207;2;1205;0;t26;2021-07-22
warmiñsko-mazurskie;3;0.02;0;0;0;39;5;1706;1081;4;1075;2;t28;2021-07-22
wielkopolskie;13;0.04;0;0;0;115;14;6924;2389;13;2372;4;t30;2021-07-22
zachodniopomorskie;3;0.02;0;0;0;52;9;3053;1600;5;1591;4;t32;2021-07-22
