wojewodztwo;liczba_nowych_zakazen;liczba_ponownych_zakazen;liczba_wszystkich_zakazen;liczba_nowych_zakazen_na_10_tys_mieszkancow;liczba_ponownych_zakazen_na_10_tys_mieszkancow;liczba_wszystkich_zakazen_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Ca³y kraj;3670;383;4053;0.96;0.10;1.06;74;17;57;7143;6271;7207;48745;4777;43557;411;t00;2022-03-31
dolnoœl¹skie;291;34;325;1.00;0.12;1.12;3;1;2;511;489;536;3602;389;3189;24;t02;2022-03-31
kujawsko-pomorskie;197;32;229;0.95;0.15;1.11;9;1;8;428;332;290;2429;271;2133;25;t04;2022-03-31
lubelskie;341;15;356;1.62;0.07;1.69;7;0;7;479;533;503;3082;404;2661;17;t06;2022-03-31
lubuskie;135;21;156;1.34;0.21;1.54;10;7;3;189;203;182;1500;180;1305;15;t08;2022-03-31
³ódzkie;230;24;254;0.94;0.10;1.04;5;2;3;493;425;422;3573;306;3242;25;t10;2022-03-31
ma³opolskie;264;28;292;0.77;0.08;0.86;0;0;0;511;404;502;3210;329;2861;20;t12;2022-03-31
mazowieckie;580;60;640;1.07;0.11;1.18;3;1;2;1134;1107;1764;7866;804;6955;107;t14;2022-03-31
opolskie;94;13;107;0.96;0.13;1.09;4;0;4;373;120;167;1467;125;1310;32;t16;2022-03-31
podkarpackie;91;13;104;0.43;0.06;0.49;3;0;3;215;157;144;2735;127;2599;9;t18;2022-03-31
podlaskie;90;8;98;0.76;0.07;0.83;2;0;2;210;151;176;1208;108;1099;1;t20;2022-03-31
pomorskie;184;17;201;0.78;0.07;0.86;12;2;10;481;422;494;2596;225;2351;20;t22;2022-03-31
œl¹skie;372;36;408;0.83;0.08;0.91;4;1;3;669;508;567;5105;483;4593;29;t24;2022-03-31
œwiêtokrzyskie;81;12;93;0.66;0.10;0.76;1;0;1;286;203;128;1664;111;1545;8;t26;2022-03-31
warmiñsko-mazurskie;104;8;112;0.73;0.06;0.79;1;0;1;223;177;213;1536;128;1406;2;t28;2022-03-31
wielkopolskie;332;38;370;0.95;0.11;1.06;6;2;4;585;646;708;3539;416;3099;24;t30;2022-03-31
zachodniopomorskie;233;23;256;1.38;0.14;1.51;4;0;4;343;363;405;2153;304;1803;46;t32;2022-03-31
