wojewodztwo;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Ca³y kraj;9246;2.41;601;164;437;28051;20609;262571;70590;10440;59255;895;t00;2021-04-19
dolnoœl¹skie;864;2.98;39;24;15;2484;1865;23896;5326;999;4253;74;t02;2021-04-19
kujawsko-pomorskie;545;2.63;56;7;49;1552;978;12572;3645;579;3026;40;t04;2021-04-19
lubelskie;587;2.79;41;5;36;1533;781;11714;3636;636;2942;58;t06;2021-04-19
lubuskie;174;1.72;13;12;1;722;537;6442;2048;205;1828;15;t08;2021-04-19
³ódzkie;713;2.91;38;2;36;1912;1619;17867;5359;814;4495;50;t10;2021-04-19
ma³opolskie;630;1.85;62;42;20;2102;1797;23259;4979;689;4209;81;t12;2021-04-19
mazowieckie;1248;2.30;52;11;41;3175;3005;37367;9733;1438;8140;155;t14;2021-04-19
opolskie;208;2.12;16;6;10;712;633;6522;2138;231;1894;13;t16;2021-04-19
podkarpackie;266;1.25;37;4;33;1094;688;11414;3081;315;2752;14;t18;2021-04-19
podlaskie;142;1.21;8;0;8;576;377;5074;1538;159;1374;5;t20;2021-04-19
pomorskie;417;1.78;34;4;30;1287;1140;13417;3636;458;3121;57;t22;2021-04-19
œl¹skie;1307;2.90;127;31;96;4414;3322;38190;7865;1521;6214;130;t24;2021-04-19
œwiêtokrzyskie;321;2.61;18;4;14;805;391;7988;2021;371;1604;46;t26;2021-04-19
warmiñsko-mazurskie;306;2.15;24;5;19;955;409;6403;2262;334;1916;12;t28;2021-04-19
wielkopolskie;885;2.53;29;7;22;3294;2281;29641;5525;956;4504;65;t30;2021-04-19
zachodniopomorskie;490;2.89;7;0;7;1415;710;10182;3203;579;2565;59;t32;2021-04-19
