wojewodztwo;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Cały kraj;4424;1.15;92;10;82;331;234065;20824;5103;15058;663;t00;2020-12-06
dolnośląskie;288;0.99;2;1;1;11;17989;1244;318;891;35;t02;2020-12-06
kujawsko-pomorskie;350;1.69;6;1;5;54;17295;1242;371;811;60;t04;2020-12-06
lubelskie;178;0.85;7;3;4;12;12580;877;216;645;16;t06;2020-12-06
lubuskie;162;1.6;0;0;0;10;7652;611;178;416;17;t08;2020-12-06
łódzkie;238;0.97;8;1;7;17;15003;1152;258;859;35;t10;2020-12-06
małopolskie;213;0.62;0;0;0;9;10686;1620;270;1312;38;t12;2020-12-06
mazowieckie;618;1.14;18;1;17;49;34512;3701;774;2719;208;t14;2020-12-06
opolskie;197;2.01;1;0;1;13;6788;482;219;259;4;t16;2020-12-06
podkarpackie;153;0.72;3;0;3;2;7092;1039;198;826;15;t18;2020-12-06
podlaskie;154;1.31;5;0;5;3;6069;457;169;281;7;t20;2020-12-06
pomorskie;338;1.44;7;0;7;23;17459;1668;373;1245;50;t22;2020-12-06
śląskie;266;0.59;10;1;9;26;21131;1562;303;1215;44;t24;2020-12-06
świętokrzyskie;70;0.57;7;2;5;5;4264;634;134;458;42;t26;2020-12-06
warmińsko-mazurskie;222;1.56;4;0;4;20;15172;729;227;483;19;t28;2020-12-06
wielkopolskie;423;1.21;13;0;13;47;26606;1685;460;1205;20;t30;2020-12-06
zachodniopomorskie;529;3.12;1;0;1;30;13767;1738;609;1080;49;t32;2020-12-06
